index,btor_time,status
arbitrated_top_n2_w128_d32_e0.btor2,297.538,unsat
arbitrated_top_n2_w128_d64_e0.btor2,297.554,unsat
arbitrated_top_n2_w64_d64_e0.btor2,297.884,unsat
arbitrated_top_n2_w8_d128_e0.btor2,299.151,unsat
arbitrated_top_n2_w8_d16_e0.btor2,22.733,sat
arbitrated_top_n2_w8_d32_e0.btor2,298.398,unsat
arbitrated_top_n2_w8_d64_e0.btor2,298.749,unsat
arbitrated_top_n3_w16_d128_e0.btor2,298.683,unsat
arbitrated_top_n3_w16_d32_e0.btor2,297.641,unsat
arbitrated_top_n3_w32_d16_e0.btor2,28.217,sat
arbitrated_top_n3_w64_d128_e0.btor2,297.786,unsat
arbitrated_top_n3_w64_d64_e0.btor2,299.442,unsat
arbitrated_top_n3_w8_d128_e0.btor2,279.334,unsat
arbitrated_top_n3_w8_d16_e0.btor2,39.478,sat
arbitrated_top_n4_w128_d16_e0.btor2,67.712,sat
arbitrated_top_n4_w128_d64_e0.btor2,297.47,
arbitrated_top_n4_w16_d16_e0.btor2,27.504,sat
arbitrated_top_n4_w16_d32_e0.btor2,297.86,unsat
arbitrated_top_n4_w16_d64_e0.btor2,299.182,unsat
arbitrated_top_n4_w32_d32_e0.btor2,298.974,unsat
arbitrated_top_n4_w64_d32_e0.btor2,296.729,unsat
arbitrated_top_n4_w8_d64_e0.btor2,298.31,unsat
arbitrated_top_n5_w128_d64_e0.btor2,296.988,
arbitrated_top_n5_w128_d8_e0.btor2,4.161,sat
arbitrated_top_n5_w32_d32_e0.btor2,299.519,unsat
arbitrated_top_n5_w64_d16_e0.btor2,51.479,sat
arbitrated_top_n5_w8_d32_e0.btor2,298.91700000000003,unsat
buggy_ridecore.btor,55.796,sat
circular_pointer_top_w128_d128_e0.btor2,296.905,
circular_pointer_top_w128_d64_e0.btor2,296.864,
circular_pointer_top_w128_d8_e0.btor2,29.689,sat
circular_pointer_top_w16_d128_e0.btor2,297.738,unsat
circular_pointer_top_w16_d32_e0.btor2,297.403,unsat
circular_pointer_top_w16_d64_e0.btor2,298.9,unsat
circular_pointer_top_w32_d16_e0.btor2,114.697,sat
circular_pointer_top_w32_d32_e0.btor2,298.395,unsat
circular_pointer_top_w64_d128_e0.btor2,298.056,
circular_pointer_top_w64_d8_e0.btor2,8.941,sat
circular_pointer_top_w8_d16_e0.btor2,53.058,sat
intersymbol_analog_estimation_convergence.btor,31.244,unsat
ridecore.btor,298.67,
shift_register_top_w128_d16_e0.btor2,299.736,
shift_register_top_w128_d64_e0.btor2,297.7,
shift_register_top_w16_d128_e0.btor2,298.119,unsat
shift_register_top_w16_d16_e0.btor2,297.68399999999997,unsat
shift_register_top_w16_d32_e0.btor2,297.748,unsat
shift_register_top_w16_d64_e0.btor2,298.148,unsat
shift_register_top_w16_d8_e0.btor2,8.519,sat
shift_register_top_w32_d128_e0.btor2,297.685,
shift_register_top_w32_d16_e0.btor2,298.539,
shift_register_top_w32_d8_e0.btor2,20.259,sat
shift_register_top_w64_d8_e0.btor2,76.503,sat
shift_register_top_w8_d128_e0.btor2,298.46500000000003,unsat
