index,btor_time,status
VexRiscv-regch0-15-p0.btor,27.37,unsat
VexRiscv-regch0-20-p0.btor,80.887,unsat
VexRiscv-regch0-30-p1.btor,0.002,unsat
picorv32-check-p05.btor,9.089,unsat
picorv32-check-p09.btor,8.471,unsat
picorv32-check-p12.btor,0.0,
picorv32-check-p19.btor,0.001,
picorv32-check-p20.btor,13.28,unsat
picorv32-check-p22.btor,9.071,unsat
picorv32-pcregs-p0.btor,270.314,unsat
picorv32-pcregs-p2.btor,249.218,unsat
ponylink-slaveTXlen-unsat.btor,1.334,unsat
zipcpu-busdelay-p00.btor,3.113,unsat
zipcpu-busdelay-p15.btor,5.858,unsat
zipcpu-busdelay-p30.btor,2.418,unsat
zipcpu-busdelay-p36.btor,2.286,unsat
zipcpu-busdelay-p43.btor,0.71,unsat
zipcpu-busdelay-p46.btor,1.876,unsat
zipcpu-busdelay-p47.btor,1.028,unsat
zipcpu-pfcache-p01.btor,1.73,unsat
zipcpu-pfcache-p02.btor,1.64,unsat
zipcpu-pfcache-p13.btor,3.16,unsat
zipcpu-pfcache-p20.btor,1.938,unsat
zipcpu-pfcache-p22.btor,1.673,unsat
zipcpu-pfcache-p24.btor,1.716,unsat
zipcpu-pfcache-p27.btor,2.221,unsat
zipcpu-pfcache-p28.btor,3.743,unsat
zipcpu-zipmmu-p00.btor,4.294,unsat
zipcpu-zipmmu-p02.btor,3.13,unsat
zipcpu-zipmmu-p09.btor,2.832,unsat
zipcpu-zipmmu-p14.btor,2.026,unsat
zipcpu-zipmmu-p26.btor,7.644,unsat
zipcpu-zipmmu-p31.btor,7.739,unsat
zipcpu-zipmmu-p33.btor,7.273,unsat
zipcpu-zipmmu-p39.btor,2.801,unsat
zipcpu-zipmmu-p48.btor,3.705,unsat
