index,btor_time,status
dspfilters_fastfir_second-p04.btor,53.801,unsat
dspfilters_fastfir_second-p05.btor,17.784,unsat
dspfilters_fastfir_second-p06.btor,18.849,unsat
dspfilters_fastfir_second-p07.btor,79.05199999999999,unsat
dspfilters_fastfir_second-p09.btor,178.743,unsat
dspfilters_fastfir_second-p10.btor,224.463,unsat
dspfilters_fastfir_second-p11.btor,0.001,
dspfilters_fastfir_second-p14.btor,298.952,unknown
dspfilters_fastfir_second-p16.btor,17.115,unsat
dspfilters_fastfir_second-p18.btor,18.375,unsat
dspfilters_fastfir_second-p21.btor,13.963,unsat
dspfilters_fastfir_second-p22.btor,277.851,unsat
dspfilters_fastfir_second-p25.btor,0.001,
dspfilters_fastfir_second-p26.btor,298.863,unknown
dspfilters_fastfir_second-p42.btor,15.678,unsat
dspfilters_fastfir_second-p43.btor,298.779,unknown
dspfilters_fastfir_second-p45.btor,298.763,unknown
qspiflash_dualflexpress_divfive-p007.btor,2.825,unsat
qspiflash_dualflexpress_divfive-p009.btor,2.71,unsat
qspiflash_dualflexpress_divfive-p016.btor,1.515,unsat
qspiflash_dualflexpress_divfive-p022.btor,1.459,unsat
qspiflash_dualflexpress_divfive-p037.btor,1.601,unsat
qspiflash_dualflexpress_divfive-p050.btor,1.422,unsat
qspiflash_dualflexpress_divfive-p054.btor,1.414,unsat
qspiflash_dualflexpress_divfive-p058.btor,2.346,unsat
qspiflash_dualflexpress_divfive-p074.btor,3.038,unsat
qspiflash_dualflexpress_divfive-p079.btor,2.127,unsat
qspiflash_dualflexpress_divfive-p092.btor,2.2,unsat
qspiflash_dualflexpress_divfive-p097.btor,1.619,unsat
qspiflash_dualflexpress_divfive-p112.btor,1.165,unsat
qspiflash_dualflexpress_divfive-p116.btor,0.912,unsat
qspiflash_dualflexpress_divfive-p120.btor,1.271,unsat
qspiflash_dualflexpress_divfive-p126.btor,1.347,unsat
qspiflash_dualflexpress_divfive-p127.btor,0.04,unsat
qspiflash_dualflexpress_divfive-p128.btor,1.388,unsat
qspiflash_dualflexpress_divfive-p133.btor,0.99,unsat
qspiflash_dualflexpress_divfive-p135.btor,1.294,unsat
qspiflash_dualflexpress_divfive-p136.btor,0.996,unsat
qspiflash_dualflexpress_divfive-p143.btor,1.936,unsat
qspiflash_dualflexpress_divfive-p154.btor,1.459,unsat
qspiflash_dualflexpress_divfive-p161.btor,0.04,unsat
qspiflash_dualflexpress_divfive-p164.btor,1.472,unsat
qspiflash_dualflexpress_divthree-p005.btor,4.482,unsat
qspiflash_dualflexpress_divthree-p006.btor,2.635,unsat
qspiflash_dualflexpress_divthree-p007.btor,3.095,unsat
qspiflash_dualflexpress_divthree-p010.btor,2.187,unsat
qspiflash_dualflexpress_divthree-p012.btor,1.981,unsat
qspiflash_dualflexpress_divthree-p032.btor,1.638,unsat
qspiflash_dualflexpress_divthree-p034.btor,1.605,unsat
qspiflash_dualflexpress_divthree-p046.btor,3.137,unsat
qspiflash_dualflexpress_divthree-p054.btor,1.627,unsat
qspiflash_dualflexpress_divthree-p068.btor,0.293,unsat
qspiflash_dualflexpress_divthree-p069.btor,1.501,unsat
qspiflash_dualflexpress_divthree-p075.btor,1.518,unsat
qspiflash_dualflexpress_divthree-p076.btor,1.776,unsat
qspiflash_dualflexpress_divthree-p085.btor,1.692,unsat
qspiflash_dualflexpress_divthree-p094.btor,2.206,unsat
qspiflash_dualflexpress_divthree-p106.btor,1.646,unsat
qspiflash_dualflexpress_divthree-p111.btor,1.757,unsat
qspiflash_dualflexpress_divthree-p113.btor,0.311,unsat
qspiflash_dualflexpress_divthree-p121.btor,2.161,unsat
qspiflash_dualflexpress_divthree-p124.btor,1.451,unsat
qspiflash_dualflexpress_divthree-p134.btor,1.6,unsat
qspiflash_dualflexpress_divthree-p136.btor,2.166,unsat
qspiflash_dualflexpress_divthree-p141.btor,1.539,unsat
qspiflash_dualflexpress_divthree-p143.btor,1.989,unsat
qspiflash_dualflexpress_divthree-p151.btor,0.057,unsat
qspiflash_dualflexpress_divthree-p153.btor,0.059,unsat
qspiflash_dualflexpress_divthree-p158.btor,1.778,unsat
qspiflash_dualflexpress_divthree-p161.btor,0.045,unsat
qspiflash_dualflexpress_divthree-p164.btor,1.413,unsat
qspiflash_qflexpress_divfive-p017.btor,0.821,unsat
qspiflash_qflexpress_divfive-p029.btor,1.322,unsat
qspiflash_qflexpress_divfive-p036.btor,1.231,unsat
qspiflash_qflexpress_divfive-p038.btor,1.341,unsat
qspiflash_qflexpress_divfive-p048.btor,1.222,unsat
qspiflash_qflexpress_divfive-p063.btor,0.06,unsat
qspiflash_qflexpress_divfive-p064.btor,1.563,unsat
qspiflash_qflexpress_divfive-p067.btor,1.535,unsat
qspiflash_qflexpress_divfive-p075.btor,2.498,unsat
qspiflash_qflexpress_divfive-p079.btor,2.018,unsat
qspiflash_qflexpress_divfive-p094.btor,1.401,unsat
qspiflash_qflexpress_divfive-p100.btor,1.395,unsat
qspiflash_qflexpress_divfive-p104.btor,1.52,unsat
