index,btor_time,status
cal102.btor2,298.073,unknown
cal106.btor2,295.754,unknown
cal107.btor2,296.398,unknown
cal112.btor2,296.841,unknown
cal117.btor2,0.002,
cal118.btor2,0.001,
cal119.btor2,0.002,
cal122.btor2,0.002,
cal123.btor2,0.002,
cal125.btor2,0.001,
cal129.btor2,0.001,
cal140.btor2,297.821,unknown
cal142.btor2,295.501,unknown
cal143.btor2,296.776,unknown
cal149.btor2,298.379,unknown
cal156.btor2,293.79,unknown
cal159.btor2,0.003,unsat
cal161.btor2,0.003,unsat
cal162.btor2,0.002,unsat
cal176.btor2,294.834,unknown
cal192.btor2,292.883,unknown
cal2.btor2,296.405,unknown
cal201.btor2,296.975,unknown
cal206.btor2,295.119,unknown
cal209.btor2,294.729,unknown
cal21.btor2,11.503,unsat
cal210.btor2,296.425,unknown
cal220.btor2,0.002,
cal224.btor2,0.002,
cal227.btor2,293.581,unknown
cal234.btor2,296.544,unknown
cal33.btor2,140.833,unsat
cal34.btor2,298.563,unknown
cal35.btor2,18.761,unsat
cal37.btor2,21.204,unsat
cal4.btor2,3.663,unsat
cal41.btor2,6.242,unsat
cal81.btor2,0.002,unsat
cal84.btor2,298.358,unknown
cal86.btor2,295.54200000000003,unknown
cal87.btor2,296.282,unknown
cal90.btor2,294.106,unknown
cal97.btor2,298.737,unknown
cal99.btor2,0.002,
gen10.btor2,1.656,unsat
gen12.btor2,1.866,unsat
gen14.btor2,1.788,unsat
gen21.btor2,1.794,unsat
gen31.btor2,51.733,unsat
gen35.btor2,15.461,unsat
gen39.btor2,2.996,unsat
gen43.btor2,297.106,unknown
gen44.btor2,298.281,unknown
h_RCU.btor2,3.027,unsat
h_TreeArb.btor2,1.316,unsat
miim.btor2,0.43,unsat
mul1.btor2,294.163,unknown
mul2.btor2,293.612,unknown
mul3.btor2,291.936,unknown
mul7.btor2,34.239,sat
mul9.btor2,297.867,unknown
paper_v3.btor2,0.002,unsat
vcegar_QF_BV_ar.btor2,0.003,unsat
vcegar_QF_BV_itc99_b13_p10.btor2,0.002,
vcegar_arrays_itc99_b12_p2.btor2,2.417,unsat
vis_arrays_am2901.btor2,0.001,
vis_arrays_am2910_p1.btor2,1.266,unsat
vis_arrays_am2910_p2.btor2,0.29,unsat
vis_arrays_am2910_p3.btor2,1.032,unsat
vis_arrays_buf_bug.btor2,3.192,sat
vis_arrays_bufferAlloc.btor2,7.784,unsat
