index,btor_time,status
arbitrated_top_n2_w128_d32_e0.btor2,69.35,unsat
arbitrated_top_n2_w128_d64_e0.btor2,88.824,unsat
arbitrated_top_n2_w64_d64_e0.btor2,58.701,unsat
arbitrated_top_n2_w8_d128_e0.btor2,56.963,unsat
arbitrated_top_n2_w8_d16_e0.btor2,3.494,sat
arbitrated_top_n2_w8_d32_e0.btor2,39.4,unsat
arbitrated_top_n2_w8_d64_e0.btor2,49.577,unsat
arbitrated_top_n3_w16_d128_e0.btor2,79.243,unsat
arbitrated_top_n3_w16_d32_e0.btor2,36.204,unsat
arbitrated_top_n3_w32_d16_e0.btor2,14.554,sat
arbitrated_top_n3_w64_d128_e0.btor2,111.762,unsat
arbitrated_top_n3_w64_d64_e0.btor2,81.297,unsat
arbitrated_top_n3_w8_d128_e0.btor2,74.782,unsat
arbitrated_top_n3_w8_d16_e0.btor2,13.205,sat
arbitrated_top_n4_w128_d16_e0.btor2,30.356,sat
arbitrated_top_n4_w128_d64_e0.btor2,146.24,unsat
arbitrated_top_n4_w16_d16_e0.btor2,24.534,sat
arbitrated_top_n4_w16_d32_e0.btor2,69.652,unsat
arbitrated_top_n4_w16_d64_e0.btor2,89.075,unsat
arbitrated_top_n4_w32_d32_e0.btor2,91.635,unsat
arbitrated_top_n4_w64_d32_e0.btor2,95.062,unsat
arbitrated_top_n4_w8_d64_e0.btor2,84.35900000000001,unsat
arbitrated_top_n5_w128_d64_e0.btor2,152.761,unsat
arbitrated_top_n5_w128_d8_e0.btor2,19.598,sat
arbitrated_top_n5_w32_d32_e0.btor2,75.412,unsat
arbitrated_top_n5_w64_d16_e0.btor2,29.303,sat
arbitrated_top_n5_w8_d32_e0.btor2,73.676,unsat
buggy_ridecore.btor,0.001,
circular_pointer_top_w128_d128_e0.btor2,295.141,unknown
circular_pointer_top_w128_d64_e0.btor2,294.644,unknown
circular_pointer_top_w128_d8_e0.btor2,17.708,sat
circular_pointer_top_w16_d128_e0.btor2,108.625,unsat
circular_pointer_top_w16_d32_e0.btor2,102.351,unsat
circular_pointer_top_w16_d64_e0.btor2,116.73599999999999,unsat
circular_pointer_top_w32_d16_e0.btor2,22.558,sat
circular_pointer_top_w32_d32_e0.btor2,169.227,unsat
circular_pointer_top_w64_d128_e0.btor2,297.636,unknown
circular_pointer_top_w64_d8_e0.btor2,13.493,sat
circular_pointer_top_w8_d16_e0.btor2,49.711,sat
intersymbol_analog_estimation_convergence.btor,27.191,unsat
ridecore.btor,0.002,
shift_register_top_w128_d16_e0.btor2,299.296,unknown
shift_register_top_w128_d64_e0.btor2,294.945,unknown
shift_register_top_w16_d128_e0.btor2,125.292,unsat
shift_register_top_w16_d16_e0.btor2,144.816,unsat
shift_register_top_w16_d32_e0.btor2,136.622,unsat
shift_register_top_w16_d64_e0.btor2,132.677,unsat
shift_register_top_w16_d8_e0.btor2,5.602,sat
shift_register_top_w32_d128_e0.btor2,294.568,unknown
shift_register_top_w32_d16_e0.btor2,298.024,unknown
shift_register_top_w32_d8_e0.btor2,10.679,sat
shift_register_top_w64_d8_e0.btor2,9.003,sat
shift_register_top_w8_d128_e0.btor2,64.688,unsat
