index,btor_time,status
picorv32_mutAX_mem-p0.btor,297.481,
picorv32_mutAX_mem-p7.btor,298.408,
picorv32_mutAY_mem-p5.btor,299.367,
picorv32_mutAY_mem-p6.btor,299.263,
picorv32_mutAY_mem-p8.btor,281.384,sat
picorv32_mutBX_mem-p1.btor,298.262,
picorv32_mutBX_mem-p2.btor,298.352,
picorv32_mutBX_mem-p5.btor,297.961,
picorv32_mutBX_mem-p6.btor,298.933,
picorv32_mutBX_mem-p7.btor,297.385,
picorv32_mutBY_mem-p4.btor,299.02,
picorv32_mutBY_mem-p8.btor,299.31600000000003,
picorv32_mutCX_mem-p0.btor,298.577,
picorv32_mutCX_mem-p3.btor,298.72,
picorv32_mutCX_mem-p7.btor,298.45799999999997,
picorv32_mutCY_mem-p1.btor,299.053,
picorv32_mutCY_mem-p3.btor,299.175,
picorv32_mutCY_mem-p8.btor,299.406,
