index,btor_time,status
dblclockfft_butterfly_ck1-p006.btor,1.524,unsat
dblclockfft_butterfly_ck1-p015.btor,1.319,unsat
dblclockfft_butterfly_ck1-p023.btor,1.338,unsat
dblclockfft_butterfly_ck1-p053.btor,1.145,unsat
dblclockfft_butterfly_ck1-p060.btor,0.978,unsat
dblclockfft_butterfly_ck1-p063.btor,3.241,unsat
dblclockfft_butterfly_ck1-p068.btor,4.265,unsat
dblclockfft_butterfly_ck1-p072.btor,1.388,unsat
dblclockfft_butterfly_ck1-p073.btor,3.661,unsat
dblclockfft_butterfly_ck1-p078.btor,2.654,unsat
dblclockfft_butterfly_ck1-p096.btor,1.491,unsat
dblclockfft_butterfly_ck1-p106.btor,14.788,unsat
dblclockfft_butterfly_ck1-p117.btor,5.191,unsat
dblclockfft_butterfly_ck1-p139.btor,1.482,unsat
dblclockfft_butterfly_ck1-p147.btor,28.999,unsat
dblclockfft_butterfly_ck1-p156.btor,1.044,unsat
dblclockfft_butterfly_ck1-p167.btor,2.477,unsat
dblclockfft_butterfly_ck1-p168.btor,1.353,unsat
dblclockfft_butterfly_ck1-p191.btor,2.413,unsat
dblclockfft_butterfly_ck1-p199.btor,1.176,unsat
dblclockfft_butterfly_ck1-p200.btor,2.266,unsat
dblclockfft_butterfly_ck1-p212.btor,1.991,unsat
dblclockfft_butterfly_ck1-p214.btor,1.51,unsat
dblclockfft_butterfly_ck1-p222.btor,71.392,unsat
dblclockfft_butterfly_ck1-p223.btor,1.445,unsat
dblclockfft_butterfly_ck1-p255.btor,19.103,unsat
dblclockfft_butterfly_ck1-p257.btor,1.286,unsat
dblclockfft_butterfly_ck1-p265.btor,27.841,unsat
dblclockfft_butterfly_ck1-p267.btor,0.783,unsat
dblclockfft_butterfly_ck1-p269.btor,1.695,unsat
dblclockfft_butterfly_ck1-p276.btor,1.083,unsat
dblclockfft_butterfly_ck1-p285.btor,2.39,unsat
dblclockfft_butterfly_ck1-p286.btor,1.505,unsat
dblclockfft_butterfly_ck1-p304.btor,0.633,unsat
dblclockfft_butterfly_ck1-p309.btor,1.11,unsat
dblclockfft_butterfly_ck1-p310.btor,1.782,unsat
dblclockfft_butterfly_ck1-p333.btor,3.007,unsat
dblclockfft_butterfly_ck1-p341.btor,2.354,unsat
dblclockfft_butterfly_ck1-p343.btor,1.704,unsat
dblclockfft_butterfly_ck1-p346.btor,3.733,unsat
dblclockfft_butterfly_ck1-p348.btor,1.764,unsat
dblclockfft_butterfly_ck1-p351.btor,3.005,unsat
dblclockfft_butterfly_ck1-p352.btor,2.951,unsat
dblclockfft_butterfly_ck1-p354.btor,2.161,unsat
dblclockfft_butterfly_ck1-p359.btor,1.679,unsat
dblclockfft_butterfly_ck1-p372.btor,5.384,unsat
dblclockfft_butterfly_ck1-p375.btor,3.365,unsat
dblclockfft_butterfly_ck1-p386.btor,2.405,unsat
dblclockfft_butterfly_ck1-p420.btor,1.326,unsat
dblclockfft_butterfly_ck1-p422.btor,0.646,unsat
dblclockfft_butterfly_ck1-p428.btor,1.833,unsat
dblclockfft_butterfly_ck1-p432.btor,1.358,unsat
dblclockfft_butterfly_ck1-p434.btor,1.844,unsat
dblclockfft_butterfly_ck1-p436.btor,2.208,unsat
dblclockfft_butterfly_ck1-p454.btor,1.341,unsat
dblclockfft_butterfly_ck1-p455.btor,1.561,unsat
dblclockfft_butterfly_ck2_r0-p043.btor,2.011,unsat
dblclockfft_butterfly_ck2_r0-p048.btor,0.839,unsat
dblclockfft_butterfly_ck2_r0-p061.btor,1.473,unsat
dblclockfft_butterfly_ck2_r0-p064.btor,2.592,unsat
dblclockfft_butterfly_ck2_r0-p075.btor,1.596,unsat
dblclockfft_butterfly_ck2_r0-p095.btor,3.519,unsat
dblclockfft_butterfly_ck2_r0-p096.btor,4.705,unsat
dblclockfft_butterfly_ck2_r0-p098.btor,0.862,unsat
dblclockfft_butterfly_ck2_r0-p100.btor,1.646,unsat
dblclockfft_butterfly_ck2_r0-p101.btor,4.596,unsat
dblclockfft_butterfly_ck2_r0-p103.btor,3.445,unsat
dblclockfft_butterfly_ck2_r0-p106.btor,1.355,unsat
dblclockfft_butterfly_ck2_r0-p129.btor,3.706,unsat
dblclockfft_butterfly_ck2_r0-p134.btor,12.458,unsat
dblclockfft_butterfly_ck2_r0-p152.btor,0.651,unsat
dblclockfft_butterfly_ck2_r0-p155.btor,5.317,unsat
dblclockfft_butterfly_ck2_r0-p159.btor,5.652,unsat
dblclockfft_butterfly_ck2_r0-p168.btor,1.144,unsat
dblclockfft_butterfly_ck2_r0-p171.btor,1.557,unsat
dblclockfft_butterfly_ck2_r0-p173.btor,3.393,unsat
dblclockfft_butterfly_ck2_r0-p185.btor,2.597,unsat
dblclockfft_butterfly_ck2_r0-p188.btor,8.325,unsat
dblclockfft_butterfly_ck2_r0-p218.btor,10.543,unsat
dblclockfft_butterfly_ck2_r0-p232.btor,1.3,unsat
dblclockfft_butterfly_ck2_r0-p239.btor,1.427,unsat
