index,btor_time,status
VexRiscv-regch0-15-p0.btor,12.277,unsat
VexRiscv-regch0-20-p0.btor,0.062,unsat
VexRiscv-regch0-30-p1.btor,0.072,unsat
picorv32-check-p05.btor,4.521,unsat
picorv32-check-p09.btor,5.007,unsat
picorv32-check-p12.btor,5.997,unsat
picorv32-check-p19.btor,5.062,unsat
picorv32-check-p20.btor,5.022,unsat
picorv32-check-p22.btor,10.598,unsat
picorv32-pcregs-p0.btor,299.328,
picorv32-pcregs-p2.btor,299.16700000000003,
ponylink-slaveTXlen-unsat.btor,0.216,unsat
zipcpu-busdelay-p00.btor,5.215,unsat
zipcpu-busdelay-p15.btor,2.878,unsat
zipcpu-busdelay-p30.btor,3.791,unsat
zipcpu-busdelay-p36.btor,5.202,unsat
zipcpu-busdelay-p43.btor,0.827,unsat
zipcpu-busdelay-p46.btor,2.987,unsat
zipcpu-busdelay-p47.btor,0.648,unsat
zipcpu-pfcache-p01.btor,3.906,unsat
zipcpu-pfcache-p02.btor,3.079,unsat
zipcpu-pfcache-p13.btor,5.958,unsat
zipcpu-pfcache-p20.btor,4.101,unsat
zipcpu-pfcache-p22.btor,3.403,unsat
zipcpu-pfcache-p24.btor,3.724,unsat
zipcpu-pfcache-p27.btor,4.246,unsat
zipcpu-pfcache-p28.btor,11.755,unsat
zipcpu-zipmmu-p00.btor,7.493,unsat
zipcpu-zipmmu-p02.btor,6.511,unsat
zipcpu-zipmmu-p09.btor,4.281,unsat
zipcpu-zipmmu-p14.btor,2.97,unsat
zipcpu-zipmmu-p26.btor,5.244,unsat
zipcpu-zipmmu-p31.btor,6.32,unsat
zipcpu-zipmmu-p33.btor,5.842,unsat
zipcpu-zipmmu-p39.btor,4.27,unsat
zipcpu-zipmmu-p48.btor,3.95,unsat
