index,btor_time,status
picorv32_mutAX_nomem-p0.btor,298.314,
picorv32_mutAX_nomem-p2.btor,298.874,
picorv32_mutAX_nomem-p5.btor,298.368,
picorv32_mutAY_nomem-p1.btor,299.149,
picorv32_mutAY_nomem-p4.btor,146.381,sat
picorv32_mutAY_nomem-p6.btor,299.342,
picorv32_mutBX_nomem-p0.btor,298.539,
picorv32_mutBX_nomem-p5.btor,298.254,
picorv32_mutBX_nomem-p8.btor,297.767,
picorv32_mutBY_nomem-p1.btor,298.633,
picorv32_mutBY_nomem-p3.btor,299.262,
picorv32_mutBY_nomem-p4.btor,299.132,
picorv32_mutBY_nomem-p6.btor,298.979,
picorv32_mutBY_nomem-p7.btor,298.553,
picorv32_mutCX_nomem-p0.btor,299.112,
picorv32_mutCX_nomem-p8.btor,297.613,
picorv32_mutCY_nomem-p0.btor,298.845,
picorv32_mutCY_nomem-p3.btor,299.293,
