index,btor_time,status
dspfilters_fastfir_second-p04.btor,21.268,unsat
dspfilters_fastfir_second-p05.btor,15.516,unsat
dspfilters_fastfir_second-p06.btor,16.167,unsat
dspfilters_fastfir_second-p07.btor,29.198,unsat
dspfilters_fastfir_second-p09.btor,77.84,unsat
dspfilters_fastfir_second-p10.btor,127.803,unsat
dspfilters_fastfir_second-p11.btor,16.282,unsat
dspfilters_fastfir_second-p14.btor,299.01800000000003,
dspfilters_fastfir_second-p16.btor,15.92,unsat
dspfilters_fastfir_second-p18.btor,15.738,unsat
dspfilters_fastfir_second-p21.btor,16.055,unsat
dspfilters_fastfir_second-p22.btor,207.89,unsat
dspfilters_fastfir_second-p25.btor,17.206,unsat
dspfilters_fastfir_second-p26.btor,298.835,
dspfilters_fastfir_second-p42.btor,13.269,unsat
dspfilters_fastfir_second-p43.btor,299.13,
dspfilters_fastfir_second-p45.btor,299.076,
qspiflash_dualflexpress_divfive-p007.btor,3.811,unsat
qspiflash_dualflexpress_divfive-p009.btor,3.701,unsat
qspiflash_dualflexpress_divfive-p016.btor,2.176,unsat
qspiflash_dualflexpress_divfive-p022.btor,2.653,unsat
qspiflash_dualflexpress_divfive-p037.btor,2.439,unsat
qspiflash_dualflexpress_divfive-p050.btor,1.906,unsat
qspiflash_dualflexpress_divfive-p054.btor,1.958,unsat
qspiflash_dualflexpress_divfive-p058.btor,3.02,unsat
qspiflash_dualflexpress_divfive-p074.btor,3.348,unsat
qspiflash_dualflexpress_divfive-p079.btor,2.321,unsat
qspiflash_dualflexpress_divfive-p092.btor,2.439,unsat
qspiflash_dualflexpress_divfive-p097.btor,3.18,unsat
qspiflash_dualflexpress_divfive-p112.btor,2.46,unsat
qspiflash_dualflexpress_divfive-p116.btor,1.439,unsat
qspiflash_dualflexpress_divfive-p120.btor,1.273,unsat
qspiflash_dualflexpress_divfive-p126.btor,1.612,unsat
qspiflash_dualflexpress_divfive-p127.btor,1.191,unsat
qspiflash_dualflexpress_divfive-p128.btor,1.554,unsat
qspiflash_dualflexpress_divfive-p133.btor,1.968,unsat
qspiflash_dualflexpress_divfive-p135.btor,1.395,unsat
qspiflash_dualflexpress_divfive-p136.btor,1.193,unsat
qspiflash_dualflexpress_divfive-p143.btor,2.076,unsat
qspiflash_dualflexpress_divfive-p154.btor,2.577,unsat
qspiflash_dualflexpress_divfive-p161.btor,1.183,unsat
qspiflash_dualflexpress_divfive-p164.btor,2.272,unsat
qspiflash_dualflexpress_divthree-p005.btor,6.389,unsat
qspiflash_dualflexpress_divthree-p006.btor,3.561,unsat
qspiflash_dualflexpress_divthree-p007.btor,4.695,unsat
qspiflash_dualflexpress_divthree-p010.btor,3.315,unsat
qspiflash_dualflexpress_divthree-p012.btor,4.026,unsat
qspiflash_dualflexpress_divthree-p032.btor,1.931,unsat
qspiflash_dualflexpress_divthree-p034.btor,2.272,unsat
qspiflash_dualflexpress_divthree-p046.btor,3.389,unsat
qspiflash_dualflexpress_divthree-p054.btor,2.254,unsat
qspiflash_dualflexpress_divthree-p068.btor,1.21,unsat
qspiflash_dualflexpress_divthree-p069.btor,2.226,unsat
qspiflash_dualflexpress_divthree-p075.btor,2.378,unsat
qspiflash_dualflexpress_divthree-p076.btor,3.046,unsat
qspiflash_dualflexpress_divthree-p085.btor,3.203,unsat
qspiflash_dualflexpress_divthree-p094.btor,2.627,unsat
qspiflash_dualflexpress_divthree-p106.btor,3.301,unsat
qspiflash_dualflexpress_divthree-p111.btor,4.158,unsat
qspiflash_dualflexpress_divthree-p113.btor,1.23,unsat
qspiflash_dualflexpress_divthree-p121.btor,2.15,unsat
qspiflash_dualflexpress_divthree-p124.btor,1.778,unsat
qspiflash_dualflexpress_divthree-p134.btor,1.587,unsat
qspiflash_dualflexpress_divthree-p136.btor,2.216,unsat
qspiflash_dualflexpress_divthree-p141.btor,3.201,unsat
qspiflash_dualflexpress_divthree-p143.btor,2.06,unsat
qspiflash_dualflexpress_divthree-p151.btor,1.219,unsat
qspiflash_dualflexpress_divthree-p153.btor,1.2,unsat
qspiflash_dualflexpress_divthree-p158.btor,1.918,unsat
qspiflash_dualflexpress_divthree-p161.btor,0.76,unsat
qspiflash_dualflexpress_divthree-p164.btor,1.706,unsat
qspiflash_qflexpress_divfive-p017.btor,1.65,unsat
qspiflash_qflexpress_divfive-p029.btor,2.277,unsat
qspiflash_qflexpress_divfive-p036.btor,1.977,unsat
qspiflash_qflexpress_divfive-p038.btor,1.569,unsat
qspiflash_qflexpress_divfive-p048.btor,1.721,unsat
qspiflash_qflexpress_divfive-p063.btor,1.142,unsat
qspiflash_qflexpress_divfive-p064.btor,2.551,unsat
qspiflash_qflexpress_divfive-p067.btor,4.178,unsat
qspiflash_qflexpress_divfive-p075.btor,3.073,unsat
qspiflash_qflexpress_divfive-p079.btor,1.9,unsat
qspiflash_qflexpress_divfive-p094.btor,1.839,unsat
qspiflash_qflexpress_divfive-p100.btor,2.457,unsat
qspiflash_qflexpress_divfive-p104.btor,1.888,unsat
qspiflash_qflexpress_divfive-p107.btor,1.622,unsat
qspiflash_qflexpress_divfive-p113.btor,2.735,unsat
qspiflash_qflexpress_divfive-p121.btor,2.269,unsat
qspiflash_qflexpress_divfive-p122.btor,2.957,unsat
qspiflash_qflexpress_divfive-p137.btor,1.401,unsat
qspiflash_qflexpress_divfive-p139.btor,1.91,unsat
vgasim_imgfifo-p036.btor,2.08,unsat
vgasim_imgfifo-p047.btor,1.869,unsat
vgasim_imgfifo-p064.btor,1.88,unsat
vgasim_imgfifo-p066.btor,1.342,unsat
vgasim_imgfifo-p070.btor,1.895,unsat
vgasim_imgfifo-p075.btor,1.962,unsat
vgasim_imgfifo-p082.btor,2.119,unsat
vgasim_imgfifo-p088.btor,1.833,unsat
vgasim_imgfifo-p089.btor,1.841,unsat
vgasim_imgfifo-p093.btor,1.338,unsat
vgasim_imgfifo-p099.btor,1.827,unsat
vgasim_imgfifo-p105.btor,1.639,unsat
vgasim_imgfifo-p109.btor,1.774,unsat
vgasim_imgfifo-p110.btor,1.749,unsat
vgasim_imgfifo-p111.btor,1.331,unsat
zipversa_composecrc_prf-p00.btor,0.773,unsat
zipversa_composecrc_prf-p03.btor,299.842,
zipversa_composecrc_prf-p07.btor,1.457,unsat
zipversa_composecrc_prf-p10.btor,38.028,unsat
zipversa_composecrc_prf-p11.btor,1.843,unsat
zipversa_composecrc_prf-p15.btor,1.553,unsat
zipversa_composecrc_prf-p17.btor,1.01,unsat
zipversa_composecrc_prf-p22.btor,1.539,unsat
