index,btor_time,status
cal102.btor2,299.032,
cal106.btor2,299.408,
cal107.btor2,299.065,
cal112.btor2,299.164,
cal117.btor2,299.043,
cal118.btor2,299.214,
cal119.btor2,298.778,
cal122.btor2,299.19100000000003,
cal123.btor2,299.327,
cal125.btor2,299.239,
cal129.btor2,299.234,
cal140.btor2,299.281,
cal142.btor2,299.617,
cal143.btor2,299.577,
cal149.btor2,299.479,
cal156.btor2,299.391,
cal159.btor2,0.218,unsat
cal161.btor2,0.199,unsat
cal162.btor2,0.25,unsat
cal176.btor2,298.093,
cal192.btor2,299.169,
cal2.btor2,298.757,
cal201.btor2,299.388,
cal206.btor2,299.021,
cal209.btor2,299.218,
cal21.btor2,23.014,unsat
cal210.btor2,299.12,
cal220.btor2,298.898,
cal224.btor2,298.368,
cal227.btor2,298.253,
cal234.btor2,299.252,
cal33.btor2,299.873,
cal34.btor2,299.73,
cal35.btor2,27.896,unsat
cal37.btor2,34.182,unsat
cal4.btor2,8.325,unsat
cal41.btor2,8.451,unsat
cal81.btor2,6.231,unsat
cal84.btor2,299.377,
cal86.btor2,299.25,
cal87.btor2,298.498,
cal90.btor2,299.349,
cal97.btor2,299.436,
cal99.btor2,299.033,
gen10.btor2,1.439,unsat
gen12.btor2,1.586,unsat
gen14.btor2,1.719,unsat
gen21.btor2,1.332,unsat
gen31.btor2,299.663,
gen35.btor2,36.935,unsat
gen39.btor2,4.835,unsat
gen43.btor2,299.835,
gen44.btor2,299.881,
h_RCU.btor2,1.719,unsat
h_TreeArb.btor2,1.669,unsat
miim.btor2,0.366,unsat
mul1.btor2,298.95799999999997,
mul2.btor2,299.23199999999997,
mul3.btor2,298.957,
mul7.btor2,0.021,sat
mul9.btor2,299.209,
paper_v3.btor2,0.007,unsat
vcegar_QF_BV_ar.btor2,0.008,unsat
vcegar_QF_BV_itc99_b13_p10.btor2,0.01,unsat
vcegar_arrays_itc99_b12_p2.btor2,2.81,unsat
vis_arrays_am2901.btor2,299.874,
vis_arrays_am2910_p1.btor2,1.027,unsat
vis_arrays_am2910_p2.btor2,0.197,unsat
vis_arrays_am2910_p3.btor2,1.377,unsat
vis_arrays_buf_bug.btor2,5.632,sat
vis_arrays_bufferAlloc.btor2,19.302,unsat
