index,btor_time,status
arbitrated_top_n2_w128_d32_e0.btor2,206.982,unsat
arbitrated_top_n2_w128_d64_e0.btor2,185.763,unsat
arbitrated_top_n2_w64_d64_e0.btor2,106.697,unsat
arbitrated_top_n2_w8_d128_e0.btor2,65.934,unsat
arbitrated_top_n2_w8_d16_e0.btor2,22.743,sat
arbitrated_top_n2_w8_d32_e0.btor2,72.832,unsat
arbitrated_top_n2_w8_d64_e0.btor2,88.331,unsat
arbitrated_top_n3_w16_d128_e0.btor2,126.963,unsat
arbitrated_top_n3_w16_d32_e0.btor2,91.536,unsat
arbitrated_top_n3_w32_d16_e0.btor2,28.194,sat
arbitrated_top_n3_w64_d128_e0.btor2,144.409,unsat
arbitrated_top_n3_w64_d64_e0.btor2,124.024,unsat
arbitrated_top_n3_w8_d128_e0.btor2,70.05199999999999,unsat
arbitrated_top_n3_w8_d16_e0.btor2,39.235,sat
arbitrated_top_n4_w128_d16_e0.btor2,67.491,sat
arbitrated_top_n4_w128_d64_e0.btor2,298.789,
arbitrated_top_n4_w16_d16_e0.btor2,27.248,sat
arbitrated_top_n4_w16_d32_e0.btor2,132.084,unsat
arbitrated_top_n4_w16_d64_e0.btor2,155.828,unsat
arbitrated_top_n4_w32_d32_e0.btor2,133.912,unsat
arbitrated_top_n4_w64_d32_e0.btor2,158.94,unsat
arbitrated_top_n4_w8_d64_e0.btor2,103.161,unsat
arbitrated_top_n5_w128_d64_e0.btor2,271.553,unsat
arbitrated_top_n5_w128_d8_e0.btor2,4.143,sat
arbitrated_top_n5_w32_d32_e0.btor2,156.249,unsat
arbitrated_top_n5_w64_d16_e0.btor2,84.338,sat
arbitrated_top_n5_w8_d32_e0.btor2,95.85300000000001,unsat
buggy_ridecore.btor,63.787,sat
circular_pointer_top_w128_d128_e0.btor2,299.319,
circular_pointer_top_w128_d64_e0.btor2,299.217,
circular_pointer_top_w128_d8_e0.btor2,29.502,sat
circular_pointer_top_w16_d128_e0.btor2,124.642,unsat
circular_pointer_top_w16_d32_e0.btor2,167.192,unsat
circular_pointer_top_w16_d64_e0.btor2,164.711,unsat
circular_pointer_top_w32_d16_e0.btor2,116.332,sat
circular_pointer_top_w32_d32_e0.btor2,177.762,unsat
circular_pointer_top_w64_d128_e0.btor2,299.362,
circular_pointer_top_w64_d8_e0.btor2,8.78,sat
circular_pointer_top_w8_d16_e0.btor2,84.026,sat
intersymbol_analog_estimation_convergence.btor,23.035,unsat
ridecore.btor,298.89300000000003,
shift_register_top_w128_d16_e0.btor2,299.763,
shift_register_top_w128_d64_e0.btor2,299.688,
shift_register_top_w16_d128_e0.btor2,138.441,unsat
shift_register_top_w16_d16_e0.btor2,135.244,unsat
shift_register_top_w16_d32_e0.btor2,131.527,unsat
shift_register_top_w16_d64_e0.btor2,156.655,unsat
shift_register_top_w16_d8_e0.btor2,8.453,sat
shift_register_top_w32_d128_e0.btor2,299.68399999999997,
shift_register_top_w32_d16_e0.btor2,299.5,
shift_register_top_w32_d8_e0.btor2,20.211,sat
shift_register_top_w64_d8_e0.btor2,73.735,sat
shift_register_top_w8_d128_e0.btor2,54.359,unsat
