index,btor_time,status
picorv32_mutAX_mem-p0.btor,298.331,
picorv32_mutAX_mem-p7.btor,242.828,sat
picorv32_mutAY_mem-p5.btor,267.664,sat
picorv32_mutAY_mem-p6.btor,298.967,
picorv32_mutAY_mem-p8.btor,299.438,
picorv32_mutBX_mem-p1.btor,298.055,
picorv32_mutBX_mem-p2.btor,298.007,
picorv32_mutBX_mem-p5.btor,298.22,
picorv32_mutBX_mem-p6.btor,297.897,
picorv32_mutBX_mem-p7.btor,297.234,
picorv32_mutBY_mem-p4.btor,272.467,sat
picorv32_mutBY_mem-p8.btor,299.327,
picorv32_mutCX_mem-p0.btor,298.752,
picorv32_mutCX_mem-p3.btor,298.397,
picorv32_mutCX_mem-p7.btor,297.666,
picorv32_mutCY_mem-p1.btor,299.20799999999997,
picorv32_mutCY_mem-p3.btor,299.0,
picorv32_mutCY_mem-p8.btor,299.288,
