index,btor_time,status
VexRiscv-regch0-15-p0.btor,12.774,unsat
VexRiscv-regch0-20-p0.btor,0.073,unsat
VexRiscv-regch0-30-p1.btor,0.068,unsat
picorv32-check-p05.btor,7.443,unsat
picorv32-check-p09.btor,7.823,unsat
picorv32-check-p12.btor,12.344,unsat
picorv32-check-p19.btor,5.604,unsat
picorv32-check-p20.btor,5.981,unsat
picorv32-check-p22.btor,7.405,unsat
picorv32-pcregs-p0.btor,299.343,
picorv32-pcregs-p2.btor,299.218,
ponylink-slaveTXlen-unsat.btor,0.224,unsat
zipcpu-busdelay-p00.btor,4.644,unsat
zipcpu-busdelay-p15.btor,2.823,unsat
zipcpu-busdelay-p30.btor,3.309,unsat
zipcpu-busdelay-p36.btor,5.417,unsat
zipcpu-busdelay-p43.btor,0.887,unsat
zipcpu-busdelay-p46.btor,3.872,unsat
zipcpu-busdelay-p47.btor,0.667,unsat
zipcpu-pfcache-p01.btor,3.747,unsat
zipcpu-pfcache-p02.btor,3.249,unsat
zipcpu-pfcache-p13.btor,5.934,unsat
zipcpu-pfcache-p20.btor,4.154,unsat
zipcpu-pfcache-p22.btor,3.413,unsat
zipcpu-pfcache-p24.btor,3.133,unsat
zipcpu-pfcache-p27.btor,3.756,unsat
zipcpu-pfcache-p28.btor,12.83,unsat
zipcpu-zipmmu-p00.btor,6.874,unsat
zipcpu-zipmmu-p02.btor,5.865,unsat
zipcpu-zipmmu-p09.btor,4.281,unsat
zipcpu-zipmmu-p14.btor,2.709,unsat
zipcpu-zipmmu-p26.btor,5.81,unsat
zipcpu-zipmmu-p31.btor,6.596,unsat
zipcpu-zipmmu-p33.btor,6.413,unsat
zipcpu-zipmmu-p39.btor,4.109,unsat
zipcpu-zipmmu-p48.btor,4.1,unsat
