index,btor_time,status
dspfilters_fastfir_second-p04.btor,17.994,unsat
dspfilters_fastfir_second-p05.btor,17.484,unsat
dspfilters_fastfir_second-p06.btor,14.192,unsat
dspfilters_fastfir_second-p07.btor,39.148,unsat
dspfilters_fastfir_second-p09.btor,86.752,unsat
dspfilters_fastfir_second-p10.btor,126.189,unsat
dspfilters_fastfir_second-p11.btor,18.551,unsat
dspfilters_fastfir_second-p14.btor,298.525,
dspfilters_fastfir_second-p16.btor,16.52,unsat
dspfilters_fastfir_second-p18.btor,16.631,unsat
dspfilters_fastfir_second-p21.btor,17.735,unsat
dspfilters_fastfir_second-p22.btor,145.982,unsat
dspfilters_fastfir_second-p25.btor,14.125,unsat
dspfilters_fastfir_second-p26.btor,298.998,
dspfilters_fastfir_second-p42.btor,17.097,unsat
dspfilters_fastfir_second-p43.btor,298.977,
dspfilters_fastfir_second-p45.btor,298.996,
qspiflash_dualflexpress_divfive-p007.btor,4.904,unsat
qspiflash_dualflexpress_divfive-p009.btor,3.061,unsat
qspiflash_dualflexpress_divfive-p016.btor,2.121,unsat
qspiflash_dualflexpress_divfive-p022.btor,3.636,unsat
qspiflash_dualflexpress_divfive-p037.btor,2.412,unsat
qspiflash_dualflexpress_divfive-p050.btor,2.546,unsat
qspiflash_dualflexpress_divfive-p054.btor,1.819,unsat
qspiflash_dualflexpress_divfive-p058.btor,3.332,unsat
qspiflash_dualflexpress_divfive-p074.btor,3.419,unsat
qspiflash_dualflexpress_divfive-p079.btor,2.387,unsat
qspiflash_dualflexpress_divfive-p092.btor,2.455,unsat
qspiflash_dualflexpress_divfive-p097.btor,2.83,unsat
qspiflash_dualflexpress_divfive-p112.btor,3.545,unsat
qspiflash_dualflexpress_divfive-p116.btor,1.817,unsat
qspiflash_dualflexpress_divfive-p120.btor,1.656,unsat
qspiflash_dualflexpress_divfive-p126.btor,1.849,unsat
qspiflash_dualflexpress_divfive-p127.btor,0.783,unsat
