index,btor_time,status
anderson.3.prop1-back-serstep.btor2,0.246,sat
at.6.prop1-back-serstep.btor2,58.8,sat
blocks.4.prop1-back-serstep.btor2,299.39,
brp2.2.prop1-func-interl.btor2,0.568,unsat
brp2.3.prop1-back-serstep.btor2,3.064,unsat
brp2.6.prop3-back-serstep.btor2,3.57,unsat
elevator.4.prop1-func-interl.btor2,1.325,unsat
frogs.5.prop1-func-interl.btor2,28.931,unsat
krebs.3.prop1-func-interl.btor2,0.546,unsat
mcs.3.prop1-back-serstep.btor2,298.924,
msmie.3.prop1-func-interl.btor2,138.735,unsat
peg_solitaire.3.prop1-back-serstep.btor2,299.844,
pgm_protocol.3.prop5-func-interl.btor2,4.321,unsat
pgm_protocol.7.prop1-back-serstep.btor2,9.12,unsat
rushhour.4.prop1-func-interl.btor2,31.509,unsat
