index,btor_time,status
cal102.btor2,298.064,
cal106.btor2,297.778,
cal107.btor2,297.512,
cal112.btor2,297.252,
cal117.btor2,298.863,
cal118.btor2,297.359,
cal119.btor2,297.674,
cal122.btor2,297.617,
cal123.btor2,298.254,
cal125.btor2,296.701,
cal129.btor2,297.852,
cal140.btor2,297.611,
cal142.btor2,299.508,
cal143.btor2,299.515,
cal149.btor2,299.4,
cal156.btor2,299.296,
cal159.btor2,0.234,unsat
cal161.btor2,0.228,unsat
cal162.btor2,0.247,unsat
cal176.btor2,298.573,
cal192.btor2,297.637,
cal2.btor2,297.5,
cal201.btor2,298.418,
cal206.btor2,297.42,
cal209.btor2,297.047,
cal21.btor2,22.471,unsat
cal210.btor2,296.976,
cal220.btor2,298.543,
cal224.btor2,297.634,
cal227.btor2,296.406,
cal234.btor2,299.294,
cal33.btor2,299.868,
cal34.btor2,299.875,
cal35.btor2,26.891,unsat
cal37.btor2,31.16,unsat
cal4.btor2,7.278,unsat
cal41.btor2,6.839,unsat
cal81.btor2,6.373,unsat
cal84.btor2,298.77,
cal86.btor2,298.954,
cal87.btor2,297.306,
cal90.btor2,298.399,
cal97.btor2,299.06,
cal99.btor2,298.633,
gen10.btor2,2.626,unsat
gen12.btor2,1.592,unsat
gen14.btor2,1.65,unsat
gen21.btor2,1.748,unsat
gen31.btor2,299.601,
gen35.btor2,37.199,unsat
gen39.btor2,3.928,unsat
gen43.btor2,299.891,
gen44.btor2,299.719,
h_RCU.btor2,1.213,unsat
h_TreeArb.btor2,1.618,unsat
miim.btor2,0.369,unsat
mul1.btor2,297.874,
mul2.btor2,298.218,
mul3.btor2,296.959,
mul7.btor2,0.02,sat
mul9.btor2,298.166,
paper_v3.btor2,0.007,unsat
vcegar_QF_BV_ar.btor2,0.006,unsat
vcegar_QF_BV_itc99_b13_p10.btor2,0.008,unsat
vcegar_arrays_itc99_b12_p2.btor2,2.667,unsat
vis_arrays_am2901.btor2,299.908,
vis_arrays_am2910_p1.btor2,1.035,unsat
vis_arrays_am2910_p2.btor2,0.164,unsat
vis_arrays_am2910_p3.btor2,1.347,unsat
vis_arrays_buf_bug.btor2,4.681,sat
vis_arrays_bufferAlloc.btor2,12.936,unsat
