index,btor_time,status
arbitrated_top_n2_w128_d32_e0.btor2,163.689,unsat
arbitrated_top_n2_w128_d64_e0.btor2,213.80599999999998,unsat
arbitrated_top_n2_w64_d64_e0.btor2,134.508,unsat
arbitrated_top_n2_w8_d128_e0.btor2,127.629,unsat
arbitrated_top_n2_w8_d16_e0.btor2,19.552,sat
arbitrated_top_n2_w8_d32_e0.btor2,83.18,unsat
arbitrated_top_n2_w8_d64_e0.btor2,82.041,unsat
arbitrated_top_n3_w16_d128_e0.btor2,112.74600000000001,unsat
arbitrated_top_n3_w16_d32_e0.btor2,99.969,unsat
arbitrated_top_n3_w32_d16_e0.btor2,63.18,sat
arbitrated_top_n3_w64_d128_e0.btor2,145.258,unsat
arbitrated_top_n3_w64_d64_e0.btor2,127.614,unsat
arbitrated_top_n3_w8_d128_e0.btor2,94.13900000000001,unsat
arbitrated_top_n3_w8_d16_e0.btor2,30.352,sat
arbitrated_top_n4_w128_d16_e0.btor2,87.849,sat
arbitrated_top_n4_w128_d64_e0.btor2,237.898,unsat
arbitrated_top_n4_w16_d16_e0.btor2,37.456,sat
arbitrated_top_n4_w16_d32_e0.btor2,115.071,unsat
arbitrated_top_n4_w16_d64_e0.btor2,139.95499999999998,unsat
arbitrated_top_n4_w32_d32_e0.btor2,128.226,unsat
arbitrated_top_n4_w64_d32_e0.btor2,218.75900000000001,unsat
arbitrated_top_n4_w8_d64_e0.btor2,104.91,unsat
arbitrated_top_n5_w128_d64_e0.btor2,228.048,unsat
arbitrated_top_n5_w128_d8_e0.btor2,3.808,sat
arbitrated_top_n5_w32_d32_e0.btor2,114.125,unsat
arbitrated_top_n5_w64_d16_e0.btor2,81.64099999999999,sat
arbitrated_top_n5_w8_d32_e0.btor2,121.69,unsat
buggy_ridecore.btor,44.772,sat
circular_pointer_top_w128_d128_e0.btor2,299.372,
circular_pointer_top_w128_d64_e0.btor2,299.155,
circular_pointer_top_w128_d8_e0.btor2,29.551,sat
circular_pointer_top_w16_d128_e0.btor2,125.339,unsat
circular_pointer_top_w16_d32_e0.btor2,166.43,unsat
circular_pointer_top_w16_d64_e0.btor2,161.885,unsat
circular_pointer_top_w32_d16_e0.btor2,114.64,sat
circular_pointer_top_w32_d32_e0.btor2,171.856,unsat
circular_pointer_top_w64_d128_e0.btor2,299.461,
circular_pointer_top_w64_d8_e0.btor2,8.746,sat
circular_pointer_top_w8_d16_e0.btor2,72.482,sat
intersymbol_analog_estimation_convergence.btor,29.674,unsat
ridecore.btor,298.875,
shift_register_top_w128_d16_e0.btor2,299.757,
shift_register_top_w128_d64_e0.btor2,299.695,
shift_register_top_w16_d128_e0.btor2,139.339,unsat
shift_register_top_w16_d16_e0.btor2,134.39,unsat
shift_register_top_w16_d32_e0.btor2,131.405,unsat
shift_register_top_w16_d64_e0.btor2,156.406,unsat
shift_register_top_w16_d8_e0.btor2,8.563,sat
shift_register_top_w32_d128_e0.btor2,299.36,
shift_register_top_w32_d16_e0.btor2,299.455,
shift_register_top_w32_d8_e0.btor2,20.208,sat
shift_register_top_w64_d8_e0.btor2,72.97,sat
shift_register_top_w8_d128_e0.btor2,45.673,unsat
