base,Cpu,Mem,BMC,seahorn_total,Result
picorv32_mutAY_mem-p6.btor,1.70,423,,,
picorv32_mutAY_mem-p8.btor,1.70,423,,,
picorv32_mutBY_mem-p4.btor,1.72,423,,,
picorv32_mutCY_mem-p8.btor,1.75,423,,,
picorv32_mutCY_mem-p1.btor,1.79,423,,,
picorv32_mutCY_mem-p3.btor,1.82,423,,,
picorv32_mutBY_mem-p8.btor,2.02,422,,,
picorv32_mutAY_mem-p5.btor,2.05,423,,,
picorv32_mutAX_mem-p7.btor,2.95,423,,,
picorv32_mutCX_mem-p3.btor,2.93,423,,,
picorv32_mutBX_mem-p2.btor,3.00,411,,,
picorv32_mutBX_mem-p6.btor,3.02,421,,,
picorv32_mutCX_mem-p7.btor,3.04,411,,,
picorv32_mutAX_mem-p0.btor,3.13,423,,,
picorv32_mutBX_mem-p1.btor,3.10,411,,,
picorv32_mutBX_mem-p7.btor,3.09,420,,,
picorv32_mutBX_mem-p5.btor,3.08,423,,,
picorv32_mutCX_mem-p0.btor,3.11,423,,,
