index,cycles
dblclockfft_butterfly_ck1-p006.btor,0.0
dblclockfft_butterfly_ck1-p015.btor,0.0
dblclockfft_butterfly_ck1-p023.btor,0.0
dblclockfft_butterfly_ck1-p053.btor,0.0
dblclockfft_butterfly_ck1-p060.btor,0.0
dblclockfft_butterfly_ck1-p063.btor,0.0
dblclockfft_butterfly_ck1-p068.btor,1.0
dblclockfft_butterfly_ck1-p072.btor,1.0
dblclockfft_butterfly_ck1-p073.btor,1.0
dblclockfft_butterfly_ck1-p078.btor,1.0
dblclockfft_butterfly_ck1-p096.btor,1.0
dblclockfft_butterfly_ck1-p106.btor,1.0
dblclockfft_butterfly_ck1-p117.btor,1.0
dblclockfft_butterfly_ck1-p139.btor,0.0
dblclockfft_butterfly_ck1-p147.btor,0.0
dblclockfft_butterfly_ck1-p156.btor,0.0
dblclockfft_butterfly_ck1-p167.btor,1.0
dblclockfft_butterfly_ck1-p168.btor,1.0
dblclockfft_butterfly_ck1-p191.btor,0.0
dblclockfft_butterfly_ck1-p199.btor,0.0
dblclockfft_butterfly_ck1-p200.btor,0.0
dblclockfft_butterfly_ck1-p212.btor,1.0
dblclockfft_butterfly_ck1-p214.btor,1.0
dblclockfft_butterfly_ck1-p222.btor,0.0
dblclockfft_butterfly_ck1-p223.btor,1.0
dblclockfft_butterfly_ck1-p255.btor,0.0
dblclockfft_butterfly_ck1-p257.btor,0.0
dblclockfft_butterfly_ck1-p265.btor,0.0
dblclockfft_butterfly_ck1-p267.btor,0.0
dblclockfft_butterfly_ck1-p269.btor,0.0
dblclockfft_butterfly_ck1-p276.btor,0.0
dblclockfft_butterfly_ck1-p285.btor,0.0
dblclockfft_butterfly_ck1-p286.btor,1.0
dblclockfft_butterfly_ck1-p304.btor,1.0
dblclockfft_butterfly_ck1-p309.btor,0.0
dblclockfft_butterfly_ck1-p310.btor,0.0
dblclockfft_butterfly_ck1-p333.btor,1.0
dblclockfft_butterfly_ck1-p341.btor,1.0
dblclockfft_butterfly_ck1-p343.btor,1.0
dblclockfft_butterfly_ck1-p346.btor,1.0
dblclockfft_butterfly_ck1-p348.btor,1.0
dblclockfft_butterfly_ck1-p351.btor,1.0
dblclockfft_butterfly_ck1-p352.btor,0.0
dblclockfft_butterfly_ck1-p354.btor,0.0
dblclockfft_butterfly_ck1-p359.btor,0.0
dblclockfft_butterfly_ck1-p372.btor,0.0
dblclockfft_butterfly_ck1-p375.btor,1.0
dblclockfft_butterfly_ck1-p386.btor,0.0
dblclockfft_butterfly_ck1-p420.btor,1.0
dblclockfft_butterfly_ck1-p422.btor,1.0
dblclockfft_butterfly_ck1-p428.btor,1.0
dblclockfft_butterfly_ck1-p432.btor,1.0
dblclockfft_butterfly_ck1-p434.btor,1.0
dblclockfft_butterfly_ck1-p436.btor,1.0
dblclockfft_butterfly_ck1-p454.btor,1.0
dblclockfft_butterfly_ck1-p455.btor,1.0
dblclockfft_butterfly_ck2_r0-p043.btor,0.0
dblclockfft_butterfly_ck2_r0-p048.btor,0.0
dblclockfft_butterfly_ck2_r0-p061.btor,0.0
dblclockfft_butterfly_ck2_r0-p064.btor,0.0
dblclockfft_butterfly_ck2_r0-p075.btor,0.0
dblclockfft_butterfly_ck2_r0-p095.btor,0.0
dblclockfft_butterfly_ck2_r0-p096.btor,0.0
dblclockfft_butterfly_ck2_r0-p098.btor,0.0
dblclockfft_butterfly_ck2_r0-p100.btor,0.0
dblclockfft_butterfly_ck2_r0-p101.btor,0.0
dblclockfft_butterfly_ck2_r0-p103.btor,0.0
dblclockfft_butterfly_ck2_r0-p106.btor,0.0
dblclockfft_butterfly_ck2_r0-p129.btor,0.0
dblclockfft_butterfly_ck2_r0-p134.btor,0.0
dblclockfft_butterfly_ck2_r0-p152.btor,0.0
dblclockfft_butterfly_ck2_r0-p155.btor,0.0
dblclockfft_butterfly_ck2_r0-p159.btor,0.0
dblclockfft_butterfly_ck2_r0-p168.btor,0.0
dblclockfft_butterfly_ck2_r0-p171.btor,0.0
dblclockfft_butterfly_ck2_r0-p173.btor,0.0
dblclockfft_butterfly_ck2_r0-p185.btor,0.0
dblclockfft_butterfly_ck2_r0-p188.btor,0.0
dblclockfft_butterfly_ck2_r0-p218.btor,0.0
dblclockfft_butterfly_ck2_r0-p232.btor,0.0
dblclockfft_butterfly_ck2_r0-p239.btor,0.0
dblclockfft_butterfly_ck2_r0-p249.btor,0.0
dblclockfft_butterfly_ck2_r0-p253.btor,0.0
dblclockfft_butterfly_ck3_r0-p021.btor,0.0
dblclockfft_butterfly_ck3_r0-p029.btor,0.0
dblclockfft_butterfly_ck3_r0-p042.btor,0.0
dblclockfft_butterfly_ck3_r0-p048.btor,0.0
dblclockfft_butterfly_ck3_r0-p051.btor,0.0
dblclockfft_butterfly_ck3_r0-p052.btor,0.0
dblclockfft_butterfly_ck3_r0-p053.btor,0.0
dblclockfft_butterfly_ck3_r0-p056.btor,0.0
dblclockfft_butterfly_ck3_r0-p066.btor,0.0
dblclockfft_butterfly_ck3_r0-p082.btor,0.0
dblclockfft_butterfly_ck3_r0-p090.btor,0.0
dblclockfft_butterfly_ck3_r0-p111.btor,0.0
dblclockfft_butterfly_ck3_r0-p119.btor,0.0
dblclockfft_butterfly_ck3_r1-p022.btor,0.0
dblclockfft_butterfly_ck3_r1-p024.btor,0.0
dblclockfft_butterfly_ck3_r1-p030.btor,0.0
dblclockfft_butterfly_ck3_r1-p047.btor,0.0
dblclockfft_butterfly_ck3_r1-p049.btor,0.0
dblclockfft_butterfly_ck3_r1-p054.btor,0.0
dblclockfft_butterfly_ck3_r1-p059.btor,0.0
dblclockfft_butterfly_ck3_r1-p086.btor,0.0
dblclockfft_butterfly_ck3_r1-p119.btor,0.0
dblclockfft_butterfly_ck3_r1-p127.btor,0.0
dblclockfft_butterfly_ck3_r1-p137.btor,0.0
dblclockfft_butterfly_ck3_r1-p145.btor,0.0
dblclockfft_butterfly_ck3_r1-p157.btor,0.0
dblclockfft_butterfly_ck3_r1-p159.btor,0.0
dblclockfft_butterfly_ck3_r2-p010.btor,0.0
dblclockfft_butterfly_ck3_r2-p015.btor,0.0
dblclockfft_butterfly_ck3_r2-p021.btor,0.0
dblclockfft_butterfly_ck3_r2-p029.btor,0.0
dblclockfft_butterfly_ck3_r2-p042.btor,0.0
dblclockfft_butterfly_ck3_r2-p052.btor,0.0
dblclockfft_butterfly_ck3_r2-p059.btor,0.0
