index,cycles
VexRiscv-regch0-15-p0.btor,14425.0
VexRiscv-regch0-15-p1.btor,11312.0
VexRiscv-regch0-20-p0.btor,11719.0
picorv32-check-p01.btor,5049.0
picorv32-check-p06.btor,5221.0
picorv32-check-p08.btor,4261.0
picorv32-check-p09.btor,4772.0
picorv32-check-p10.btor,4363.0
picorv32-check-p14.btor,5190.0
picorv32-check-p18.btor,5610.0
ponylink-slaveTXlen-unsat.btor,71697.0
zipcpu-zipmmu-p00.btor,6055.0
zipcpu-zipmmu-p01.btor,4909.0
zipcpu-zipmmu-p06.btor,5536.0
zipcpu-zipmmu-p26.btor,5216.0
zipcpu-zipmmu-p28.btor,5678.0
zipcpu-zipmmu-p29.btor,6136.0
zipcpu-zipmmu-p31.btor,5974.0
zipcpu-zipmmu-p34.btor,5511.0
zipcpu-zipmmu-p41.btor,5873.0
