base,Cpu,Mem,BMC,seahorn_total,Result
picorv32_mutCX_mem-p3.btor,1.27,422,,,
picorv32_mutBX_mem-p6.btor,1.34,407,,,
picorv32_mutBX_mem-p2.btor,1.31,418,,,
picorv32_mutAX_mem-p7.btor,1.32,408,,,
picorv32_mutCX_mem-p7.btor,1.32,423,,,
picorv32_mutBY_mem-p4.btor,1.34,423,,,
picorv32_mutAX_mem-p0.btor,1.41,423,,,
picorv32_mutBX_mem-p5.btor,1.34,423,,,
picorv32_mutAY_mem-p6.btor,1.38,423,,,
picorv32_mutCY_mem-p8.btor,1.40,423,,,
picorv32_mutCY_mem-p3.btor,1.37,423,,,
picorv32_mutCY_mem-p1.btor,1.45,416,,,
picorv32_mutBY_mem-p8.btor,1.52,423,,,
picorv32_mutCX_mem-p0.btor,1.58,399,,,
picorv32_mutAY_mem-p5.btor,1.50,423,,,
picorv32_mutBX_mem-p1.btor,1.57,398,,,
picorv32_mutBX_mem-p7.btor,1.65,416,,,
picorv32_mutAY_mem-p8.btor,1.72,423,,,
