index,cycles
dblclockfft_butterfly_ck1-p006.btor,126.0
dblclockfft_butterfly_ck1-p015.btor,127.0
dblclockfft_butterfly_ck1-p023.btor,129.0
dblclockfft_butterfly_ck1-p053.btor,118.0
dblclockfft_butterfly_ck1-p060.btor,121.0
dblclockfft_butterfly_ck1-p063.btor,120.0
dblclockfft_butterfly_ck1-p068.btor,124.0
dblclockfft_butterfly_ck1-p072.btor,130.0
dblclockfft_butterfly_ck1-p073.btor,126.0
dblclockfft_butterfly_ck1-p078.btor,122.0
dblclockfft_butterfly_ck1-p096.btor,116.0
dblclockfft_butterfly_ck1-p106.btor,116.0
dblclockfft_butterfly_ck1-p117.btor,111.0
dblclockfft_butterfly_ck1-p139.btor,114.0
dblclockfft_butterfly_ck1-p147.btor,115.0
dblclockfft_butterfly_ck1-p156.btor,126.0
dblclockfft_butterfly_ck1-p167.btor,122.0
dblclockfft_butterfly_ck1-p168.btor,133.0
dblclockfft_butterfly_ck1-p191.btor,129.0
dblclockfft_butterfly_ck1-p199.btor,120.0
dblclockfft_butterfly_ck1-p200.btor,135.0
dblclockfft_butterfly_ck1-p212.btor,138.0
dblclockfft_butterfly_ck1-p214.btor,125.0
dblclockfft_butterfly_ck1-p222.btor,132.0
dblclockfft_butterfly_ck1-p223.btor,167.0
dblclockfft_butterfly_ck1-p255.btor,171.0
dblclockfft_butterfly_ck1-p257.btor,154.0
dblclockfft_butterfly_ck1-p265.btor,173.0
dblclockfft_butterfly_ck1-p267.btor,191.0
dblclockfft_butterfly_ck1-p269.btor,193.0
dblclockfft_butterfly_ck1-p276.btor,112.0
dblclockfft_butterfly_ck1-p285.btor,110.0
dblclockfft_butterfly_ck1-p286.btor,107.0
dblclockfft_butterfly_ck1-p304.btor,107.0
dblclockfft_butterfly_ck1-p309.btor,106.0
dblclockfft_butterfly_ck1-p310.btor,119.0
dblclockfft_butterfly_ck1-p333.btor,114.0
dblclockfft_butterfly_ck1-p341.btor,111.0
dblclockfft_butterfly_ck1-p343.btor,121.0
dblclockfft_butterfly_ck1-p346.btor,110.0
dblclockfft_butterfly_ck1-p348.btor,112.0
dblclockfft_butterfly_ck1-p351.btor,120.0
dblclockfft_butterfly_ck1-p352.btor,109.0
dblclockfft_butterfly_ck1-p354.btor,121.0
dblclockfft_butterfly_ck1-p359.btor,114.0
dblclockfft_butterfly_ck1-p372.btor,130.0
dblclockfft_butterfly_ck1-p375.btor,123.0
dblclockfft_butterfly_ck1-p386.btor,127.0
dblclockfft_butterfly_ck1-p420.btor,130.0
dblclockfft_butterfly_ck1-p422.btor,126.0
dblclockfft_butterfly_ck1-p428.btor,124.0
dblclockfft_butterfly_ck1-p432.btor,115.0
dblclockfft_butterfly_ck1-p434.btor,111.0
dblclockfft_butterfly_ck1-p436.btor,111.0
dblclockfft_butterfly_ck1-p454.btor,142.0
dblclockfft_butterfly_ck1-p455.btor,154.0
dblclockfft_butterfly_ck2_r0-p043.btor,199.0
dblclockfft_butterfly_ck2_r0-p048.btor,227.0
dblclockfft_butterfly_ck2_r0-p061.btor,257.0
dblclockfft_butterfly_ck2_r0-p064.btor,302.0
dblclockfft_butterfly_ck2_r0-p075.btor,183.0
dblclockfft_butterfly_ck2_r0-p095.btor,184.0
dblclockfft_butterfly_ck2_r0-p096.btor,188.0
dblclockfft_butterfly_ck2_r0-p098.btor,193.0
dblclockfft_butterfly_ck2_r0-p100.btor,186.0
dblclockfft_butterfly_ck2_r0-p101.btor,201.0
dblclockfft_butterfly_ck2_r0-p103.btor,195.0
dblclockfft_butterfly_ck2_r0-p106.btor,165.0
dblclockfft_butterfly_ck2_r0-p129.btor,196.0
dblclockfft_butterfly_ck2_r0-p134.btor,199.0
dblclockfft_butterfly_ck2_r0-p152.btor,189.0
dblclockfft_butterfly_ck2_r0-p155.btor,186.0
dblclockfft_butterfly_ck2_r0-p159.btor,162.0
dblclockfft_butterfly_ck2_r0-p168.btor,177.0
dblclockfft_butterfly_ck2_r0-p171.btor,193.0
dblclockfft_butterfly_ck2_r0-p173.btor,187.0
dblclockfft_butterfly_ck2_r0-p185.btor,185.0
dblclockfft_butterfly_ck2_r0-p188.btor,186.0
dblclockfft_butterfly_ck2_r0-p218.btor,183.0
dblclockfft_butterfly_ck2_r0-p232.btor,171.0
dblclockfft_butterfly_ck2_r0-p239.btor,177.0
dblclockfft_butterfly_ck2_r0-p249.btor,189.0
dblclockfft_butterfly_ck2_r0-p253.btor,182.0
dblclockfft_butterfly_ck3_r0-p021.btor,358.0
dblclockfft_butterfly_ck3_r0-p029.btor,293.0
dblclockfft_butterfly_ck3_r0-p042.btor,323.0
dblclockfft_butterfly_ck3_r0-p048.btor,445.0
dblclockfft_butterfly_ck3_r0-p051.btor,512.0
dblclockfft_butterfly_ck3_r0-p052.btor,488.0
dblclockfft_butterfly_ck3_r0-p053.btor,343.0
dblclockfft_butterfly_ck3_r0-p056.btor,371.0
dblclockfft_butterfly_ck3_r0-p066.btor,407.0
dblclockfft_butterfly_ck3_r0-p082.btor,374.0
dblclockfft_butterfly_ck3_r0-p090.btor,384.0
dblclockfft_butterfly_ck3_r0-p111.btor,376.0
dblclockfft_butterfly_ck3_r0-p119.btor,315.0
dblclockfft_butterfly_ck3_r1-p022.btor,346.0
dblclockfft_butterfly_ck3_r1-p024.btor,319.0
dblclockfft_butterfly_ck3_r1-p030.btor,286.0
dblclockfft_butterfly_ck3_r1-p047.btor,328.0
dblclockfft_butterfly_ck3_r1-p049.btor,342.0
dblclockfft_butterfly_ck3_r1-p054.btor,343.0
dblclockfft_butterfly_ck3_r1-p059.btor,358.0
dblclockfft_butterfly_ck3_r1-p086.btor,314.0
dblclockfft_butterfly_ck3_r1-p119.btor,332.0
dblclockfft_butterfly_ck3_r1-p127.btor,340.0
dblclockfft_butterfly_ck3_r1-p137.btor,320.0
dblclockfft_butterfly_ck3_r1-p145.btor,332.0
dblclockfft_butterfly_ck3_r1-p157.btor,338.0
dblclockfft_butterfly_ck3_r1-p159.btor,303.0
dblclockfft_butterfly_ck3_r2-p010.btor,286.0
dblclockfft_butterfly_ck3_r2-p015.btor,313.0
dblclockfft_butterfly_ck3_r2-p021.btor,278.0
dblclockfft_butterfly_ck3_r2-p029.btor,344.0
dblclockfft_butterfly_ck3_r2-p042.btor,300.0
dblclockfft_butterfly_ck3_r2-p052.btor,364.0
dblclockfft_butterfly_ck3_r2-p059.btor,433.0
dblclockfft_butterfly_ck3_r2-p060.btor,459.0
dblclockfft_butterfly_ck3_r2-p079.btor,445.0
dblclockfft_butterfly_ck3_r2-p093.btor,299.0
