base,Cpu,Mem,BMC,seahorn_total,Result
dblclockfft_butterfly_ck3_r0-p056.btor,1.84,423,,,
dblclockfft_butterfly_ck3_r0-p090.btor,1.78,418,,,
dblclockfft_butterfly_ck3_r0-p111.btor,1.82,423,,,
dblclockfft_butterfly_ck3_r1-p022.btor,1.80,423,,,
dblclockfft_butterfly_ck3_r0-p066.btor,1.84,423,,,
dblclockfft_butterfly_ck3_r1-p030.btor,1.75,423,,,
dblclockfft_butterfly_ck3_r0-p053.btor,1.82,423,,,
dblclockfft_butterfly_ck3_r1-p024.btor,1.84,423,,,
dblclockfft_butterfly_ck3_r0-p119.btor,1.75,423,,,
dblclockfft_butterfly_ck3_r0-p082.btor,1.75,423,,,
dblclockfft_butterfly_ck3_r1-p047.btor,1.79,423,,,
dblclockfft_butterfly_ck1-p053.btor,2.68,423,,,
dblclockfft_butterfly_ck1-p006.btor,2.78,423,,,
dblclockfft_butterfly_ck1-p073.btor,2.80,423,,,
dblclockfft_butterfly_ck1-p015.btor,2.73,423,,,
dblclockfft_butterfly_ck1-p072.btor,2.82,421,,,
dblclockfft_butterfly_ck1-p063.btor,2.70,423,,,
dblclockfft_butterfly_ck1-p023.btor,2.90,413,,,
dblclockfft_butterfly_ck1-p078.btor,2.75,421,,,
dblclockfft_butterfly_ck1-p060.btor,2.85,413,,,
dblclockfft_butterfly_ck1-p096.btor,2.78,423,,,
dblclockfft_butterfly_ck1-p068.btor,2.73,423,,,
dblclockfft_butterfly_ck3_r1-p049.btor,1.87,423,,,
dblclockfft_butterfly_ck3_r1-p054.btor,1.86,423,,,
dblclockfft_butterfly_ck3_r1-p059.btor,1.83,423,,,
zipcpu_zipcpu_dcache-p525.btor,5.13,474,,,
zipcpu_zipcpu_dcache-p563.btor,5.20,474,,,
zipcpu_zipcpu_dcache-p519.btor,5.21,474,,,
zipcpu_zipcpu_dcache-p531.btor,5.26,474,,,
zipcpu_zipcpu_dcache-p515.btor,5.16,474,,,
zipcpu_zipcpu_dcache-p550.btor,5.32,474,,,
dblclockfft_butterfly_ck3_r1-p086.btor,1.85,412,,,
zipcpu_zipcpu_dcache-p527.btor,5.26,474,,,
zipcpu_zipcpu_dcache-p577.btor,5.31,474,,,
zipcpu_zipcpu_dcache-p578.btor,5.41,474,,,
dblclockfft_butterfly_ck1-p106.btor,2.65,423,,,
zipcpu_zipcpu_dcache-p570.btor,5.36,474,,,
dblclockfft_butterfly_ck1-p117.btor,2.68,423,,,
dblclockfft_butterfly_ck1-p147.btor,2.75,423,,,
dblclockfft_butterfly_ck1-p139.btor,2.66,423,,,
dblclockfft_butterfly_ck3_r1-p127.btor,1.86,423,,,
zipcpu_zipcpu_piped-p013.btor,2.12,423,,,
dblclockfft_butterfly_ck3_r1-p119.btor,1.83,423,,,
zipcpu_zipcpu_piped-p015.btor,2.07,423,,,
dblclockfft_butterfly_ck3_r1-p137.btor,1.80,423,,,
zipcpu_zipcpu_piped-p020.btor,2.00,423,,,
zipcpu_zipcpu_piped-p033.btor,2.17,423,,,
dblclockfft_butterfly_ck1-p156.btor,2.80,423,,,
dblclockfft_butterfly_ck1-p167.btor,2.85,423,,,
dblclockfft_butterfly_ck1-p168.btor,2.87,423,,,
dblclockfft_butterfly_ck3_r1-p145.btor,1.85,423,,,
zipcpu_zipcpu_piped-p034.btor,2.06,423,,,
zipcpu_zipcpu_dcache-p579.btor,5.23,474,,,
zipcpu_zipcpu_dcache-p582.btor,5.36,474,,,
dblclockfft_butterfly_ck3_r1-p157.btor,1.96,423,,,
zipcpu_zipcpu_dcache-p595.btor,5.16,474,,,
dblclockfft_butterfly_ck3_r1-p159.btor,1.84,423,,,
zipcpu_zipcpu_dcache-p588.btor,5.44,474,,,
zipcpu_zipcpu_piped-p040.btor,2.06,413,,,
zipcpu_zipcpu_piped-p048.btor,2.12,423,,,
dblclockfft_butterfly_ck3_r2-p010.btor,1.85,423,,,
dblclockfft_butterfly_ck1-p191.btor,2.71,423,,,
dblclockfft_butterfly_ck3_r2-p021.btor,1.83,423,,,
dblclockfft_butterfly_ck3_r2-p015.btor,1.90,423,,,
zipcpu_zipcpu_piped-p081.btor,2.08,423,,,
zipcpu_zipcpu_piped-p073.btor,2.12,423,,,
dblclockfft_butterfly_ck1-p199.btor,2.70,423,,,
dblclockfft_butterfly_ck3_r2-p029.btor,1.94,423,,,
zipcpu_zipcpu_piped-p102.btor,2.11,423,,,
dblclockfft_butterfly_ck1-p212.btor,2.80,423,,,
dblclockfft_butterfly_ck3_r2-p042.btor,1.89,423,,,
dblclockfft_butterfly_ck1-p200.btor,2.82,423,,,
zipcpu_zipcpu_piped-p110.btor,2.07,419,,,
dblclockfft_butterfly_ck1-p222.btor,2.77,423,,,
dblclockfft_butterfly_ck1-p214.btor,2.72,423,,,
dblclockfft_butterfly_ck3_r2-p052.btor,1.85,412,,,
zipcpu_zipcpu_piped-p111.btor,2.13,423,,,
dblclockfft_butterfly_ck1-p223.btor,2.96,423,,,
zipcpu_zipcpu_piped-p112.btor,2.12,423,,,
dblclockfft_butterfly_ck1-p257.btor,2.81,423,,,
dblclockfft_butterfly_ck1-p255.btor,2.89,423,,,
dblclockfft_butterfly_ck3_r2-p059.btor,1.73,419,,,
dblclockfft_butterfly_ck1-p265.btor,2.39,423,,,
dblclockfft_butterfly_ck3_r2-p079.btor,1.59,423,,,
zipcpu_zipcpu_piped-p131.btor,1.74,423,,,
zipcpu_zipcpu_piped-p115.btor,2.00,423,,,
dblclockfft_butterfly_ck3_r2-p060.btor,1.76,423,,,
zipcpu_zipcpu_piped-p132.btor,1.69,423,,,
dblclockfft_butterfly_ck1-p267.btor,2.16,423,,,
dblclockfft_butterfly_ck1-p269.btor,2.06,423,,,
dblclockfft_butterfly_ck3_r2-p093.btor,1.78,423,,,
dblclockfft_butterfly_ck3_r2-p133.btor,1.73,422,,,
dblclockfft_butterfly_ck3_r2-p114.btor,1.84,423,,,
dblclockfft_butterfly_ck3_r2-p155.btor,1.87,421,,,
zipcpu_zipcpu_piped-p155.btor,2.07,423,,,
dblclockfft_butterfly_ck3_r2-p156.btor,1.86,423,,,
dblclockfft_butterfly_ck3_r2-p151.btor,1.94,421,,,
dblclockfft_butterfly_ck3_r2-p148.btor,1.88,423,,,
dblclockfft_butterfly_ck3_r2-p146.btor,1.96,423,,,
dblclockfft_butterfly_ck3_r2-p154.btor,1.85,423,,,
dblclockfft_butterfly_ck3_r2-p173.btor,1.71,423,,,
zipcpu_zipcpu_piped-p146.btor,1.96,422,,,
zipcpu_zipcpu_piped-p142.btor,2.08,418,,,
zipcpu_zipcpu_piped-p156.btor,2.09,423,,,
zipcpu_zipcpu_piped-p162.btor,2.05,423,,,
zipcpu_zipcpu_piped-p185.btor,2.03,416,,,
zipcpu_zipcpu_piped-p183.btor,2.02,423,,,
zipcpu_zipcpu_piped-p160.btor,2.05,415,,,
zipcpu_zipcpu_piped-p177.btor,2.07,422,,,
zipcpu_zipcpu_piped-p163.btor,2.02,422,,,
dblclockfft_butterfly_ck1-p285.btor,2.49,423,,,
dblclockfft_butterfly_ck1-p286.btor,2.64,422,,,
dblclockfft_butterfly_ck1-p346.btor,2.57,422,,,
dblclockfft_butterfly_ck1-p309.btor,2.66,423,,,
dblclockfft_butterfly_ck1-p276.btor,2.63,423,,,
dblclockfft_butterfly_ck1-p348.btor,2.71,423,,,
dblclockfft_butterfly_ck1-p333.btor,2.73,412,,,
dblclockfft_butterfly_ck1-p304.btor,2.62,423,,,
dblclockfft_butterfly_ck1-p341.btor,2.67,423,,,
dblclockfft_butterfly_ck1-p310.btor,2.74,423,,,
dblclockfft_butterfly_ck1-p343.btor,2.78,423,,,
zipcpu_zipcpu_piped-p205.btor,2.14,423,,,
zipcpu_zipcpu_piped-p211.btor,2.03,423,,,
zipcpu_zipcpu_piped-p210.btor,2.23,423,,,
zipcpu_zipcpu_dcache-p019.btor,5.18,474,,,
zipcpu_zipcpu_piped-p214.btor,2.15,423,,,
zipcpu_zipcpu_piped-p219.btor,2.03,423,,,
zipcpu_zipcpu_piped-p218.btor,2.12,423,,,
zipcpu_zipcpu_piped-p223.btor,2.18,422,,,
dblclockfft_butterfly_ck1-p351.btor,2.77,423,,,
dblclockfft_butterfly_ck1-p352.btor,2.77,423,,,
zipcpu_zipcpu_piped-p224.btor,2.12,423,,,
dblclockfft_butterfly_ck1-p354.btor,2.81,423,,,
zipcpu_zipcpu_piped-p226.btor,2.13,423,,,
dblclockfft_butterfly_ck1-p359.btor,2.79,423,,,
zipcpu_zipcpu_piped-p262.btor,2.13,423,,,
dblclockfft_butterfly_ck1-p375.btor,2.74,423,,,
zipcpu_zipcpu_piped-p267.btor,2.11,423,,,
dblclockfft_butterfly_ck1-p372.btor,2.77,423,,,
dblclockfft_butterfly_ck1-p420.btor,2.76,423,,,
dblclockfft_butterfly_ck1-p386.btor,2.77,423,,,
dblclockfft_butterfly_ck1-p422.btor,2.80,423,,,
dblclockfft_butterfly_ck1-p428.btor,2.85,423,,,
zipcpu_zipcpu_dcache-p028.btor,5.25,474,,,
zipcpu_zipcpu_piped-p275.btor,2.14,423,,,
zipcpu_zipcpu_dcache-p034.btor,5.20,474,,,
zipcpu_zipcpu_piped-p288.btor,2.15,423,,,
zipcpu_zipcpu_dcache-p041.btor,5.48,474,,,
zipcpu_zipcpu_piped-p295.btor,2.12,423,,,
zipcpu_zipcpu_dcache-p059.btor,5.23,474,,,
zipcpu_zipcpu_dcache-p071.btor,5.24,474,,,
dblclockfft_butterfly_ck1-p432.btor,2.79,423,,,
zipcpu_zipcpu_piped-p308.btor,2.12,423,,,
zipcpu_zipcpu_piped-p309.btor,2.09,423,,,
zipcpu_zipcpu_dcache-p068.btor,5.40,474,,,
dblclockfft_butterfly_ck1-p434.btor,2.65,423,,,
zipcpu_zipcpu_dcache-p082.btor,5.23,474,,,
zipcpu_zipcpu_dcache-p072.btor,5.44,474,,,
dblclockfft_butterfly_ck1-p436.btor,2.76,423,,,
zipcpu_zipcpu_piped-p323.btor,2.36,423,,,
dblclockfft_butterfly_ck2_r0-p043.btor,2.14,423,,,
zipcpu_zipcpu_dcache-p079.btor,5.44,471,,,
zipcpu_zipcpu_dcache-p085.btor,5.35,474,,,
dblclockfft_butterfly_ck1-p454.btor,2.76,423,,,
zipcpu_zipcpu_piped-p315.btor,2.12,423,,,
dblclockfft_butterfly_ck2_r0-p048.btor,2.13,423,,,
dblclockfft_butterfly_ck2_r0-p061.btor,2.11,423,,,
dblclockfft_butterfly_ck1-p455.btor,2.90,423,,,
zipcpu_zipcpu_dcache-p088.btor,4.95,474,,,
zipcpu_zipcpu_piped-p327.btor,1.79,423,,,
dblclockfft_butterfly_ck2_r0-p064.btor,1.76,423,,,
zipcpu_zipcpu_piped-p330.btor,1.70,423,,,
zipcpu_zipcpu_dcache-p090.btor,4.90,474,,,
zipcpu_zipcpu_dcache-p097.btor,4.58,474,,,
zipcpu_zipcpu_dcache-p126.btor,4.68,474,,,
zipcpu_zipcpu_dcache-p138.btor,4.48,474,,,
zipcpu_zipcpu_dcache-p141.btor,4.35,474,,,
zipcpu_zipcpu_dcache-p158.btor,4.30,474,,,
zipcpu_zipcpu_dcache-p159.btor,3.75,474,,,
zipcpu_zipcpu_dcache-p164.btor,3.65,474,,,
dblclockfft_butterfly_ck2_r0-p101.btor,2.05,423,,,
dblclockfft_butterfly_ck2_r0-p096.btor,2.15,423,,,
zipcpu_zipcpu_piped-p389.btor,2.02,423,,,
zipcpu_zipcpu_piped-p350.btor,2.08,423,,,
zipcpu_zipcpu_piped-p342.btor,2.17,423,,,
dblclockfft_butterfly_ck2_r0-p095.btor,2.03,423,,,
zipcpu_zipcpu_piped-p344.btor,2.01,423,,,
dblclockfft_butterfly_ck2_r0-p100.btor,2.10,423,,,
