index,cycles
dblclockfft_butterfly_ck1-p006.btor,119.0
dblclockfft_butterfly_ck1-p015.btor,121.0
dblclockfft_butterfly_ck1-p023.btor,127.0
dblclockfft_butterfly_ck1-p053.btor,129.0
dblclockfft_butterfly_ck1-p060.btor,122.0
dblclockfft_butterfly_ck1-p063.btor,119.0
dblclockfft_butterfly_ck1-p068.btor,116.0
dblclockfft_butterfly_ck1-p072.btor,119.0
dblclockfft_butterfly_ck1-p073.btor,121.0
dblclockfft_butterfly_ck1-p078.btor,123.0
dblclockfft_butterfly_ck1-p096.btor,121.0
dblclockfft_butterfly_ck1-p106.btor,112.0
dblclockfft_butterfly_ck1-p117.btor,117.0
dblclockfft_butterfly_ck1-p139.btor,120.0
dblclockfft_butterfly_ck1-p147.btor,115.0
dblclockfft_butterfly_ck1-p156.btor,122.0
dblclockfft_butterfly_ck1-p167.btor,126.0
dblclockfft_butterfly_ck1-p168.btor,118.0
dblclockfft_butterfly_ck1-p191.btor,114.0
dblclockfft_butterfly_ck1-p199.btor,109.0
dblclockfft_butterfly_ck1-p200.btor,123.0
dblclockfft_butterfly_ck1-p212.btor,127.0
dblclockfft_butterfly_ck1-p214.btor,126.0
dblclockfft_butterfly_ck1-p222.btor,140.0
dblclockfft_butterfly_ck1-p223.btor,119.0
dblclockfft_butterfly_ck1-p255.btor,170.0
dblclockfft_butterfly_ck1-p257.btor,176.0
dblclockfft_butterfly_ck1-p265.btor,164.0
dblclockfft_butterfly_ck1-p267.btor,181.0
dblclockfft_butterfly_ck1-p269.btor,196.0
dblclockfft_butterfly_ck1-p276.btor,107.0
dblclockfft_butterfly_ck1-p285.btor,101.0
dblclockfft_butterfly_ck1-p286.btor,101.0
dblclockfft_butterfly_ck1-p304.btor,100.0
dblclockfft_butterfly_ck1-p309.btor,97.0
dblclockfft_butterfly_ck1-p310.btor,104.0
dblclockfft_butterfly_ck1-p333.btor,101.0
dblclockfft_butterfly_ck1-p341.btor,102.0
dblclockfft_butterfly_ck1-p343.btor,108.0
dblclockfft_butterfly_ck1-p346.btor,106.0
dblclockfft_butterfly_ck1-p348.btor,106.0
dblclockfft_butterfly_ck1-p351.btor,113.0
dblclockfft_butterfly_ck1-p352.btor,125.0
dblclockfft_butterfly_ck1-p354.btor,106.0
dblclockfft_butterfly_ck1-p359.btor,120.0
dblclockfft_butterfly_ck1-p372.btor,116.0
dblclockfft_butterfly_ck1-p375.btor,104.0
dblclockfft_butterfly_ck1-p386.btor,106.0
dblclockfft_butterfly_ck1-p420.btor,116.0
dblclockfft_butterfly_ck1-p422.btor,118.0
dblclockfft_butterfly_ck1-p428.btor,113.0
dblclockfft_butterfly_ck1-p432.btor,122.0
dblclockfft_butterfly_ck1-p434.btor,114.0
dblclockfft_butterfly_ck1-p436.btor,140.0
dblclockfft_butterfly_ck1-p454.btor,149.0
dblclockfft_butterfly_ck1-p455.btor,135.0
dblclockfft_butterfly_ck2_r0-p043.btor,217.0
dblclockfft_butterfly_ck2_r0-p048.btor,217.0
dblclockfft_butterfly_ck2_r0-p061.btor,287.0
dblclockfft_butterfly_ck2_r0-p064.btor,292.0
dblclockfft_butterfly_ck2_r0-p075.btor,205.0
dblclockfft_butterfly_ck2_r0-p095.btor,198.0
dblclockfft_butterfly_ck2_r0-p096.btor,197.0
dblclockfft_butterfly_ck2_r0-p098.btor,185.0
dblclockfft_butterfly_ck2_r0-p100.btor,193.0
dblclockfft_butterfly_ck2_r0-p101.btor,191.0
dblclockfft_butterfly_ck2_r0-p103.btor,204.0
dblclockfft_butterfly_ck2_r0-p106.btor,177.0
dblclockfft_butterfly_ck2_r0-p129.btor,205.0
dblclockfft_butterfly_ck2_r0-p134.btor,205.0
dblclockfft_butterfly_ck2_r0-p152.btor,180.0
dblclockfft_butterfly_ck2_r0-p155.btor,187.0
dblclockfft_butterfly_ck2_r0-p159.btor,190.0
dblclockfft_butterfly_ck2_r0-p168.btor,194.0
dblclockfft_butterfly_ck2_r0-p171.btor,191.0
dblclockfft_butterfly_ck2_r0-p173.btor,204.0
dblclockfft_butterfly_ck2_r0-p185.btor,181.0
dblclockfft_butterfly_ck2_r0-p188.btor,196.0
dblclockfft_butterfly_ck2_r0-p218.btor,193.0
dblclockfft_butterfly_ck2_r0-p232.btor,202.0
dblclockfft_butterfly_ck2_r0-p239.btor,225.0
dblclockfft_butterfly_ck2_r0-p249.btor,205.0
dblclockfft_butterfly_ck2_r0-p253.btor,218.0
dblclockfft_butterfly_ck3_r0-p021.btor,379.0
dblclockfft_butterfly_ck3_r0-p029.btor,381.0
dblclockfft_butterfly_ck3_r0-p042.btor,366.0
dblclockfft_butterfly_ck3_r0-p048.btor,538.0
dblclockfft_butterfly_ck3_r0-p051.btor,543.0
dblclockfft_butterfly_ck3_r0-p052.btor,494.0
dblclockfft_butterfly_ck3_r0-p053.btor,347.0
dblclockfft_butterfly_ck3_r0-p056.btor,383.0
dblclockfft_butterfly_ck3_r0-p066.btor,382.0
dblclockfft_butterfly_ck3_r0-p082.btor,338.0
dblclockfft_butterfly_ck3_r0-p090.btor,294.0
dblclockfft_butterfly_ck3_r0-p111.btor,378.0
dblclockfft_butterfly_ck3_r0-p119.btor,342.0
dblclockfft_butterfly_ck3_r1-p022.btor,343.0
dblclockfft_butterfly_ck3_r1-p024.btor,359.0
dblclockfft_butterfly_ck3_r1-p030.btor,311.0
dblclockfft_butterfly_ck3_r1-p047.btor,338.0
dblclockfft_butterfly_ck3_r1-p049.btor,316.0
dblclockfft_butterfly_ck3_r1-p054.btor,354.0
dblclockfft_butterfly_ck3_r1-p059.btor,357.0
dblclockfft_butterfly_ck3_r1-p086.btor,322.0
dblclockfft_butterfly_ck3_r1-p119.btor,311.0
dblclockfft_butterfly_ck3_r1-p127.btor,285.0
dblclockfft_butterfly_ck3_r1-p137.btor,319.0
dblclockfft_butterfly_ck3_r1-p145.btor,343.0
dblclockfft_butterfly_ck3_r1-p157.btor,347.0
dblclockfft_butterfly_ck3_r1-p159.btor,357.0
dblclockfft_butterfly_ck3_r2-p010.btor,308.0
dblclockfft_butterfly_ck3_r2-p015.btor,321.0
dblclockfft_butterfly_ck3_r2-p021.btor,316.0
dblclockfft_butterfly_ck3_r2-p029.btor,289.0
dblclockfft_butterfly_ck3_r2-p042.btor,310.0
dblclockfft_butterfly_ck3_r2-p052.btor,307.0
dblclockfft_butterfly_ck3_r2-p059.btor,456.0
dblclockfft_butterfly_ck3_r2-p060.btor,440.0
dblclockfft_butterfly_ck3_r2-p079.btor,460.0
dblclockfft_butterfly_ck3_r2-p093.btor,325.0
dblclockfft_butterfly_ck3_r2-p114.btor,288.0
dblclockfft_butterfly_ck3_r2-p133.btor,287.0
dblclockfft_butterfly_ck3_r2-p146.btor,311.0
dblclockfft_butterfly_ck3_r2-p148.btor,299.0
dblclockfft_butterfly_ck3_r2-p151.btor,273.0
dblclockfft_butterfly_ck3_r2-p154.btor,273.0
dblclockfft_butterfly_ck3_r2-p155.btor,306.0
dblclockfft_butterfly_ck3_r2-p156.btor,254.0
dblclockfft_butterfly_ck3_r2-p173.btor,288.0
zipcpu_zipcpu_dcache-p019.btor,4251.0
zipcpu_zipcpu_dcache-p028.btor,4659.0
zipcpu_zipcpu_dcache-p034.btor,5039.0
zipcpu_zipcpu_dcache-p041.btor,4517.0
zipcpu_zipcpu_dcache-p059.btor,4354.0
zipcpu_zipcpu_dcache-p068.btor,4522.0
zipcpu_zipcpu_dcache-p071.btor,4558.0
zipcpu_zipcpu_dcache-p072.btor,4483.0
zipcpu_zipcpu_dcache-p079.btor,4614.0
zipcpu_zipcpu_dcache-p082.btor,3965.0
zipcpu_zipcpu_dcache-p085.btor,4912.0
zipcpu_zipcpu_dcache-p088.btor,6639.0
zipcpu_zipcpu_dcache-p090.btor,6490.0
zipcpu_zipcpu_dcache-p097.btor,6401.0
zipcpu_zipcpu_dcache-p126.btor,6274.0
zipcpu_zipcpu_dcache-p138.btor,6419.0
zipcpu_zipcpu_dcache-p141.btor,6431.0
zipcpu_zipcpu_dcache-p158.btor,6699.0
zipcpu_zipcpu_dcache-p159.btor,8488.0
zipcpu_zipcpu_dcache-p164.btor,8743.0
zipcpu_zipcpu_dcache-p179.btor,4703.0
zipcpu_zipcpu_dcache-p192.btor,5192.0
zipcpu_zipcpu_dcache-p199.btor,3963.0
zipcpu_zipcpu_dcache-p209.btor,4215.0
zipcpu_zipcpu_dcache-p211.btor,4516.0
zipcpu_zipcpu_dcache-p229.btor,4881.0
zipcpu_zipcpu_dcache-p236.btor,4868.0
zipcpu_zipcpu_dcache-p237.btor,4483.0
zipcpu_zipcpu_dcache-p238.btor,4491.0
zipcpu_zipcpu_dcache-p242.btor,5073.0
zipcpu_zipcpu_dcache-p286.btor,4298.0
zipcpu_zipcpu_dcache-p293.btor,4729.0
zipcpu_zipcpu_dcache-p301.btor,4749.0
zipcpu_zipcpu_dcache-p304.btor,5030.0
zipcpu_zipcpu_dcache-p340.btor,4775.0
zipcpu_zipcpu_dcache-p351.btor,4818.0
zipcpu_zipcpu_dcache-p360.btor,4793.0
zipcpu_zipcpu_dcache-p362.btor,4422.0
zipcpu_zipcpu_dcache-p377.btor,6507.0
zipcpu_zipcpu_dcache-p388.btor,6662.0
zipcpu_zipcpu_dcache-p407.btor,6547.0
zipcpu_zipcpu_dcache-p428.btor,5212.0
zipcpu_zipcpu_dcache-p429.btor,6130.0
zipcpu_zipcpu_dcache-p438.btor,6161.0
zipcpu_zipcpu_dcache-p440.btor,5188.0
zipcpu_zipcpu_dcache-p451.btor,6866.0
zipcpu_zipcpu_dcache-p476.btor,8282.0
zipcpu_zipcpu_dcache-p504.btor,7216.0
zipcpu_zipcpu_dcache-p506.btor,7817.0
zipcpu_zipcpu_dcache-p515.btor,4609.0
zipcpu_zipcpu_dcache-p519.btor,4188.0
zipcpu_zipcpu_dcache-p525.btor,4222.0
zipcpu_zipcpu_dcache-p527.btor,4454.0
zipcpu_zipcpu_dcache-p531.btor,4328.0
zipcpu_zipcpu_dcache-p550.btor,4287.0
zipcpu_zipcpu_dcache-p563.btor,4280.0
zipcpu_zipcpu_dcache-p570.btor,4557.0
zipcpu_zipcpu_dcache-p577.btor,4485.0
zipcpu_zipcpu_dcache-p578.btor,4245.0
zipcpu_zipcpu_dcache-p579.btor,4311.0
zipcpu_zipcpu_dcache-p582.btor,5007.0
zipcpu_zipcpu_dcache-p588.btor,4878.0
zipcpu_zipcpu_dcache-p595.btor,4306.0
zipcpu_zipcpu_piped-p013.btor,4711.0
zipcpu_zipcpu_piped-p015.btor,5217.0
zipcpu_zipcpu_piped-p020.btor,5052.0
zipcpu_zipcpu_piped-p033.btor,4868.0
zipcpu_zipcpu_piped-p034.btor,4617.0
zipcpu_zipcpu_piped-p040.btor,4282.0
zipcpu_zipcpu_piped-p048.btor,4817.0
zipcpu_zipcpu_piped-p073.btor,4746.0
zipcpu_zipcpu_piped-p081.btor,4753.0
zipcpu_zipcpu_piped-p102.btor,4818.0
zipcpu_zipcpu_piped-p110.btor,4624.0
zipcpu_zipcpu_piped-p111.btor,6236.0
zipcpu_zipcpu_piped-p112.btor,6003.0
zipcpu_zipcpu_piped-p115.btor,6669.0
zipcpu_zipcpu_piped-p131.btor,7182.0
zipcpu_zipcpu_piped-p132.btor,7242.0
zipcpu_zipcpu_piped-p142.btor,3629.0
zipcpu_zipcpu_piped-p146.btor,3399.0
zipcpu_zipcpu_piped-p155.btor,3881.0
zipcpu_zipcpu_piped-p156.btor,3629.0
zipcpu_zipcpu_piped-p160.btor,4099.0
zipcpu_zipcpu_piped-p162.btor,3404.0
zipcpu_zipcpu_piped-p163.btor,3524.0
zipcpu_zipcpu_piped-p177.btor,3979.0
zipcpu_zipcpu_piped-p183.btor,3859.0
zipcpu_zipcpu_piped-p185.btor,3806.0
zipcpu_zipcpu_piped-p205.btor,5335.0
zipcpu_zipcpu_piped-p210.btor,5061.0
zipcpu_zipcpu_piped-p211.btor,4927.0
zipcpu_zipcpu_piped-p214.btor,0.0
zipcpu_zipcpu_piped-p218.btor,4338.0
zipcpu_zipcpu_piped-p219.btor,0.0
zipcpu_zipcpu_piped-p223.btor,4377.0
zipcpu_zipcpu_piped-p224.btor,4461.0
zipcpu_zipcpu_piped-p226.btor,4278.0
zipcpu_zipcpu_piped-p262.btor,4637.0
zipcpu_zipcpu_piped-p267.btor,4426.0
zipcpu_zipcpu_piped-p275.btor,4299.0
zipcpu_zipcpu_piped-p288.btor,3775.0
zipcpu_zipcpu_piped-p295.btor,4822.0
zipcpu_zipcpu_piped-p308.btor,5167.0
zipcpu_zipcpu_piped-p309.btor,5259.0
zipcpu_zipcpu_piped-p315.btor,5629.0
zipcpu_zipcpu_piped-p323.btor,0.0
zipcpu_zipcpu_piped-p327.btor,6518.0
zipcpu_zipcpu_piped-p330.btor,6548.0
zipcpu_zipcpu_piped-p342.btor,4142.0
zipcpu_zipcpu_piped-p344.btor,4459.0
zipcpu_zipcpu_piped-p347.btor,3829.0
zipcpu_zipcpu_piped-p350.btor,4569.0
zipcpu_zipcpu_piped-p351.btor,4504.0
zipcpu_zipcpu_piped-p372.btor,4499.0
zipcpu_zipcpu_piped-p378.btor,4194.0
zipcpu_zipcpu_piped-p381.btor,3772.0
zipcpu_zipcpu_piped-p389.btor,3812.0
zipcpu_zipcpu_piped-p390.btor,4596.0
zipcpu_zipcpu_piped-p399.btor,4527.0
zipcpu_zipcpu_piped-p423.btor,3831.0
zipcpu_zipcpu_piped-p431.btor,4346.0
zipcpu_zipcpu_piped-p442.btor,3985.0
zipcpu_zipcpu_piped-p448.btor,4391.0
zipcpu_zipcpu_piped-p466.btor,4491.0
zipcpu_zipcpu_piped-p472.btor,4508.0
zipcpu_zipcpu_piped-p475.btor,4831.0
zipcpu_zipcpu_piped-p476.btor,4883.0
zipcpu_zipcpu_piped-p479.btor,4653.0
zipcpu_zipcpu_piped-p481.btor,4314.0
zipcpu_zipcpu_piped-p509.btor,5567.0
zipcpu_zipcpu_piped-p516.btor,4801.0
zipcpu_zipcpu_piped-p518.btor,5312.0
zipcpu_zipcpu_piped-p520.btor,5076.0
zipcpu_zipcpu_piped-p525.btor,5978.0
zipcpu_zipcpu_piped-p528.btor,5917.0
zipcpu_zipcpu_piped-p529.btor,5620.0
