index,cycles
picorv32_mutAX_mem-p0.btor,0.0
picorv32_mutAX_mem-p7.btor,0.0
picorv32_mutAY_mem-p5.btor,2812.0
picorv32_mutAY_mem-p6.btor,3061.0
picorv32_mutAY_mem-p8.btor,3128.0
picorv32_mutBX_mem-p1.btor,0.0
picorv32_mutBX_mem-p2.btor,0.0
picorv32_mutBX_mem-p5.btor,0.0
picorv32_mutBX_mem-p6.btor,3413.0
picorv32_mutBX_mem-p7.btor,3709.0
picorv32_mutBY_mem-p4.btor,3144.0
picorv32_mutBY_mem-p8.btor,3121.0
picorv32_mutCX_mem-p0.btor,0.0
picorv32_mutCX_mem-p3.btor,0.0
picorv32_mutCX_mem-p7.btor,0.0
picorv32_mutCY_mem-p1.btor,3044.0
picorv32_mutCY_mem-p3.btor,3020.0
picorv32_mutCY_mem-p8.btor,3080.0
