index,cycles
picorv32_mutAX_mem-p0.btor,2455.0
picorv32_mutAX_mem-p7.btor,2735.0
picorv32_mutAY_mem-p5.btor,2508.0
picorv32_mutAY_mem-p6.btor,2544.0
picorv32_mutAY_mem-p8.btor,2792.0
picorv32_mutBX_mem-p1.btor,3041.0
picorv32_mutBX_mem-p2.btor,2400.0
picorv32_mutBX_mem-p5.btor,2528.0
picorv32_mutBX_mem-p6.btor,2620.0
picorv32_mutBX_mem-p7.btor,2863.0
picorv32_mutBY_mem-p4.btor,2078.0
picorv32_mutBY_mem-p8.btor,2105.0
picorv32_mutCX_mem-p0.btor,2399.0
picorv32_mutCX_mem-p3.btor,2909.0
picorv32_mutCX_mem-p7.btor,2556.0
picorv32_mutCY_mem-p1.btor,2494.0
picorv32_mutCY_mem-p3.btor,2559.0
picorv32_mutCY_mem-p8.btor,2807.0
