index,cycles
VexRiscv-regch0-15-p0.btor,1.0
VexRiscv-regch0-15-p1.btor,1.0
VexRiscv-regch0-20-p0.btor,1.0
picorv32-check-p01.btor,2.0
picorv32-check-p06.btor,2.0
picorv32-check-p08.btor,2.0
picorv32-check-p09.btor,2.0
picorv32-check-p10.btor,2.0
picorv32-check-p14.btor,2.0
picorv32-check-p18.btor,2.0
ponylink-slaveTXlen-unsat.btor,528.0
zipcpu-zipmmu-p00.btor,1.0
zipcpu-zipmmu-p01.btor,1.0
zipcpu-zipmmu-p06.btor,1.0
zipcpu-zipmmu-p26.btor,1.0
zipcpu-zipmmu-p28.btor,1.0
zipcpu-zipmmu-p29.btor,1.0
zipcpu-zipmmu-p31.btor,1.0
zipcpu-zipmmu-p34.btor,1.0
zipcpu-zipmmu-p41.btor,1.0
