index,cycles
VexRiscv-regch0-15-p0.btor,1232.0
VexRiscv-regch0-15-p1.btor,1118.0
VexRiscv-regch0-20-p0.btor,1232.0
picorv32-check-p01.btor,770.0
picorv32-check-p06.btor,1152.0
picorv32-check-p08.btor,1087.0
picorv32-check-p09.btor,1187.0
picorv32-check-p10.btor,776.0
picorv32-check-p14.btor,770.0
picorv32-check-p18.btor,782.0
ponylink-slaveTXlen-unsat.btor,294.0
zipcpu-zipmmu-p00.btor,777.0
zipcpu-zipmmu-p01.btor,786.0
zipcpu-zipmmu-p06.btor,786.0
zipcpu-zipmmu-p26.btor,1183.0
zipcpu-zipmmu-p28.btor,1090.0
zipcpu-zipmmu-p29.btor,1209.0
zipcpu-zipmmu-p31.btor,1192.0
zipcpu-zipmmu-p34.btor,1167.0
zipcpu-zipmmu-p41.btor,1226.0
