index,cycles
dblclockfft_butterfly_ck1-p006.btor,158.0
dblclockfft_butterfly_ck1-p015.btor,158.0
dblclockfft_butterfly_ck1-p023.btor,158.0
dblclockfft_butterfly_ck1-p053.btor,137.0
dblclockfft_butterfly_ck1-p060.btor,158.0
dblclockfft_butterfly_ck1-p063.btor,158.0
dblclockfft_butterfly_ck1-p068.btor,158.0
dblclockfft_butterfly_ck1-p072.btor,158.0
dblclockfft_butterfly_ck1-p073.btor,158.0
dblclockfft_butterfly_ck1-p078.btor,158.0
dblclockfft_butterfly_ck1-p096.btor,158.0
dblclockfft_butterfly_ck1-p106.btor,137.0
dblclockfft_butterfly_ck1-p117.btor,158.0
dblclockfft_butterfly_ck1-p139.btor,158.0
dblclockfft_butterfly_ck1-p147.btor,158.0
dblclockfft_butterfly_ck1-p156.btor,158.0
dblclockfft_butterfly_ck1-p167.btor,158.0
dblclockfft_butterfly_ck1-p168.btor,158.0
dblclockfft_butterfly_ck1-p191.btor,158.0
dblclockfft_butterfly_ck1-p199.btor,158.0
dblclockfft_butterfly_ck1-p200.btor,158.0
dblclockfft_butterfly_ck1-p212.btor,158.0
dblclockfft_butterfly_ck1-p214.btor,238.0
dblclockfft_butterfly_ck1-p222.btor,158.0
dblclockfft_butterfly_ck1-p223.btor,158.0
dblclockfft_butterfly_ck1-p255.btor,158.0
dblclockfft_butterfly_ck1-p257.btor,158.0
dblclockfft_butterfly_ck1-p265.btor,158.0
dblclockfft_butterfly_ck1-p267.btor,158.0
dblclockfft_butterfly_ck1-p269.btor,158.0
dblclockfft_butterfly_ck1-p276.btor,137.0
dblclockfft_butterfly_ck1-p285.btor,137.0
dblclockfft_butterfly_ck1-p286.btor,158.0
dblclockfft_butterfly_ck1-p304.btor,158.0
dblclockfft_butterfly_ck1-p309.btor,158.0
dblclockfft_butterfly_ck1-p310.btor,158.0
dblclockfft_butterfly_ck1-p333.btor,137.0
dblclockfft_butterfly_ck1-p341.btor,158.0
dblclockfft_butterfly_ck1-p343.btor,158.0
dblclockfft_butterfly_ck1-p346.btor,158.0
dblclockfft_butterfly_ck1-p348.btor,158.0
dblclockfft_butterfly_ck1-p351.btor,158.0
dblclockfft_butterfly_ck1-p352.btor,158.0
dblclockfft_butterfly_ck1-p354.btor,158.0
dblclockfft_butterfly_ck1-p359.btor,158.0
dblclockfft_butterfly_ck1-p372.btor,158.0
dblclockfft_butterfly_ck1-p375.btor,158.0
dblclockfft_butterfly_ck1-p386.btor,158.0
dblclockfft_butterfly_ck1-p420.btor,137.0
dblclockfft_butterfly_ck1-p422.btor,137.0
dblclockfft_butterfly_ck1-p428.btor,158.0
dblclockfft_butterfly_ck1-p432.btor,158.0
dblclockfft_butterfly_ck1-p434.btor,158.0
dblclockfft_butterfly_ck1-p436.btor,238.0
dblclockfft_butterfly_ck1-p454.btor,158.0
dblclockfft_butterfly_ck1-p455.btor,158.0
dblclockfft_butterfly_ck2_r0-p043.btor,441.0
dblclockfft_butterfly_ck2_r0-p048.btor,292.0
dblclockfft_butterfly_ck2_r0-p061.btor,441.0
dblclockfft_butterfly_ck2_r0-p064.btor,441.0
dblclockfft_butterfly_ck2_r0-p075.btor,292.0
dblclockfft_butterfly_ck2_r0-p095.btor,292.0
dblclockfft_butterfly_ck2_r0-p096.btor,271.0
dblclockfft_butterfly_ck2_r0-p098.btor,271.0
dblclockfft_butterfly_ck2_r0-p100.btor,271.0
dblclockfft_butterfly_ck2_r0-p101.btor,292.0
dblclockfft_butterfly_ck2_r0-p103.btor,292.0
dblclockfft_butterfly_ck2_r0-p106.btor,271.0
dblclockfft_butterfly_ck2_r0-p129.btor,292.0
dblclockfft_butterfly_ck2_r0-p134.btor,271.0
dblclockfft_butterfly_ck2_r0-p152.btor,271.0
dblclockfft_butterfly_ck2_r0-p155.btor,292.0
dblclockfft_butterfly_ck2_r0-p159.btor,271.0
dblclockfft_butterfly_ck2_r0-p168.btor,271.0
dblclockfft_butterfly_ck2_r0-p171.btor,271.0
dblclockfft_butterfly_ck2_r0-p173.btor,292.0
dblclockfft_butterfly_ck2_r0-p185.btor,271.0
dblclockfft_butterfly_ck2_r0-p188.btor,271.0
dblclockfft_butterfly_ck2_r0-p218.btor,292.0
dblclockfft_butterfly_ck2_r0-p232.btor,250.0
dblclockfft_butterfly_ck2_r0-p239.btor,292.0
dblclockfft_butterfly_ck2_r0-p249.btor,271.0
dblclockfft_butterfly_ck2_r0-p253.btor,441.0
dblclockfft_butterfly_ck3_r0-p021.btor,727.0
dblclockfft_butterfly_ck3_r0-p029.btor,506.0
dblclockfft_butterfly_ck3_r0-p042.btor,506.0
