index,BMC,BMC_solve,Control,Result,Thinned,bmc_circ_sz,bmc_dag_sz,btor_time,seahorn_total,status
VexRiscv-regch0-15-p0.btor,94.73,93.89,dependence,TRUE,Gate,4,29144,179.102,96.16,unsat
VexRiscv-regch0-20-p0.btor,,,,,,,,80.879,,
VexRiscv-regch0-30-p1.btor,0.02,0.01,dependence,TRUE,Gate,94,244,54.631,0.13,unsat
picorv32-check-p05.btor,160.95,12.66,dependence,TRUE,Gate,4,25828,244.192,163.98,unsat
picorv32-check-p09.btor,102.40,12.35,dependence,TRUE,Gate,4,25884,183.853,105.31,unsat
picorv32-check-p12.btor,,,,,,,,83.82300000000001,,
picorv32-check-p19.btor,,,,,,,,83.03,,
picorv32-check-p20.btor,113.37,19.33,dependence,TRUE,Gate,4,26504,200.102,116.26,unsat
picorv32-check-p22.btor,,,,,,,,75.765,,
picorv32-pcregs-p0.btor,,,,,,,,123.17,,
picorv32-pcregs-p2.btor,,,,,,,,118.706,,
ponylink-slaveTXlen-unsat.btor,,,,,,,,294.882,,
zipcpu-busdelay-p00.btor,6.67,6.59,dependence,TRUE,Gate,4,4625,17.061,7.22,unsat
zipcpu-busdelay-p15.btor,2.51,2.42,dependence,TRUE,Gate,4,5794,14.181,3.18,unsat
zipcpu-busdelay-p30.btor,3.00,2.92,dependence,TRUE,Gate,4,4575,12.507,3.53,unsat
zipcpu-busdelay-p36.btor,12.68,12.61,dependence,TRUE,Gate,4,4673,22.66,13.22,unsat
zipcpu-busdelay-p43.btor,0.32,0.24,dependence,TRUE,Gate,4,5143,10.966,0.93,unsat
zipcpu-busdelay-p46.btor,2.15,2.08,dependence,TRUE,Gate,4,4558,11.704,2.70,unsat
zipcpu-busdelay-p47.btor,0.33,0.25,dependence,TRUE,Gate,4,4543,9.91,0.88,unsat
zipcpu-pfcache-p01.btor,0.46,0.32,dependence,TRUE,Gate,4,8029,27.374,1.38,unsat
zipcpu-pfcache-p02.btor,0.45,0.31,dependence,TRUE,Gate,4,8025,27.808,1.07,unsat
zipcpu-pfcache-p13.btor,0.86,0.74,dependence,TRUE,Gate,4,12067,42.368,1.70,unsat
zipcpu-pfcache-p20.btor,0.47,0.33,dependence,TRUE,Gate,4,8413,27.335,1.38,unsat
zipcpu-pfcache-p22.btor,0.45,0.31,dependence,TRUE,Gate,4,8034,28.031,1.42,unsat
zipcpu-pfcache-p24.btor,0.46,0.31,dependence,TRUE,Gate,4,8119,28.223,1.43,unsat
zipcpu-pfcache-p27.btor,0.47,0.34,dependence,TRUE,Gate,4,8482,27.531,1.44,unsat
zipcpu-pfcache-p28.btor,1.12,1.01,dependence,TRUE,Gate,4,13186,36.976,1.91,unsat
zipcpu-zipmmu-p00.btor,3.29,3.08,dependence,TRUE,Gate,4,10296,32.38,4.30,unsat
zipcpu-zipmmu-p02.btor,2.39,2.18,dependence,TRUE,Gate,4,10263,29.274,3.33,unsat
zipcpu-zipmmu-p09.btor,1.10,0.91,dependence,TRUE,Gate,4,11046,30.027,2.13,unsat
zipcpu-zipmmu-p14.btor,0.76,0.62,dependence,TRUE,Gate,4,10275,28.475,1.80,unsat
zipcpu-zipmmu-p26.btor,5.19,5.06,dependence,TRUE,Gate,4,10316,34.834,5.84,unsat
zipcpu-zipmmu-p31.btor,7.59,7.37,dependence,TRUE,Gate,4,10432,38.194,8.61,unsat
zipcpu-zipmmu-p33.btor,3.79,3.65,dependence,TRUE,Gate,4,10296,32.608,4.47,unsat
zipcpu-zipmmu-p39.btor,1.44,1.31,dependence,TRUE,Gate,4,10798,29.847,2.32,unsat
zipcpu-zipmmu-p48.btor,1.64,1.51,dependence,TRUE,Gate,4,10269,28.201,2.33,unsat
