index,btor_time
picorv32_mutAX_nomem-p0.btor,46.777
picorv32_mutAX_nomem-p2.btor,44.273
picorv32_mutAX_nomem-p5.btor,46.175
picorv32_mutAY_nomem-p1.btor,297.634
picorv32_mutAY_nomem-p4.btor,275.19
picorv32_mutAY_nomem-p6.btor,265.52
picorv32_mutBX_nomem-p0.btor,39.268
picorv32_mutBX_nomem-p5.btor,38.442
picorv32_mutBX_nomem-p8.btor,41.86
picorv32_mutBY_nomem-p1.btor,285.472
picorv32_mutBY_nomem-p3.btor,287.205
picorv32_mutBY_nomem-p4.btor,32.568
picorv32_mutBY_nomem-p6.btor,274.749
picorv32_mutBY_nomem-p7.btor,25.596
picorv32_mutCX_nomem-p0.btor,48.253
picorv32_mutCX_nomem-p8.btor,37.792
picorv32_mutCY_nomem-p0.btor,278.398
picorv32_mutCY_nomem-p3.btor,281.872
