index,BMC,BMC_solve,Control,Result,Thinned,bmc_circ_sz,bmc_dag_sz,btor_time,seahorn_total,status
dspfilters_fastfir_second-p04.btor,,,,,,,,246.334,,
dspfilters_fastfir_second-p05.btor,11.60,10.39,dependence,TRUE,Gate,4,100820,262.08299999999997,21.15,unsat
dspfilters_fastfir_second-p06.btor,12.61,11.35,dependence,TRUE,Gate,4,100820,269.248,24.27,unsat
dspfilters_fastfir_second-p07.btor,,,,,,,,243.909,,
dspfilters_fastfir_second-p09.btor,,,,,,,,289.609,,
dspfilters_fastfir_second-p10.btor,,,,,,,,250.147,,
dspfilters_fastfir_second-p11.btor,12.82,11.54,dependence,TRUE,Gate,4,100826,266.401,22.39,unsat
dspfilters_fastfir_second-p14.btor,,,,,,,,295.291,,
dspfilters_fastfir_second-p16.btor,12.76,11.64,dependence,TRUE,Gate,4,100841,263.173,22.26,unsat
dspfilters_fastfir_second-p18.btor,11.30,10.02,dependence,TRUE,Gate,4,100820,265.075,20.83,unsat
dspfilters_fastfir_second-p21.btor,12.74,11.51,dependence,TRUE,Gate,4,100807,262.862,22.28,unsat
dspfilters_fastfir_second-p22.btor,,,,,,,,234.358,,
dspfilters_fastfir_second-p25.btor,11.77,10.50,dependence,TRUE,Gate,4,100834,259.34,21.36,unsat
dspfilters_fastfir_second-p26.btor,,,,,,,,238.976,,
dspfilters_fastfir_second-p42.btor,11.84,10.54,dependence,TRUE,Gate,4,100832,250.349,21.39,unsat
dspfilters_fastfir_second-p43.btor,,,,,,,,238.526,,
dspfilters_fastfir_second-p45.btor,,,,,,,,232.188,,
qspiflash_dualflexpress_divfive-p007.btor,1.56,1.37,dependence,TRUE,Gate,4,10715,26.34,2.56,unsat
qspiflash_dualflexpress_divfive-p009.btor,2.19,1.98,dependence,TRUE,Gate,4,11158,26.959,3.22,unsat
qspiflash_dualflexpress_divfive-p016.btor,0.83,0.62,dependence,TRUE,Gate,4,10579,24.675,1.82,unsat
qspiflash_dualflexpress_divfive-p022.btor,0.89,0.69,dependence,TRUE,Gate,4,10529,26.057,1.86,unsat
qspiflash_dualflexpress_divfive-p037.btor,0.95,0.73,dependence,TRUE,Gate,4,10863,25.179,1.93,unsat
qspiflash_dualflexpress_divfive-p050.btor,0.51,0.30,dependence,TRUE,Gate,4,10767,24.653,1.43,unsat
qspiflash_dualflexpress_divfive-p054.btor,0.53,0.31,dependence,TRUE,Gate,4,11210,25.875,1.54,unsat
qspiflash_dualflexpress_divfive-p058.btor,0.90,0.68,dependence,TRUE,Gate,4,11194,26.102,1.90,unsat
qspiflash_dualflexpress_divfive-p074.btor,0.88,0.67,dependence,TRUE,Gate,4,10840,25.499,1.86,unsat
qspiflash_dualflexpress_divfive-p079.btor,0.88,0.65,dependence,TRUE,Gate,4,11027,25.581,1.87,unsat
qspiflash_dualflexpress_divfive-p092.btor,0.87,0.65,dependence,TRUE,Gate,4,11387,25.463,1.87,unsat
qspiflash_dualflexpress_divfive-p097.btor,0.85,0.62,dependence,TRUE,Gate,4,11172,25.065,1.86,unsat
qspiflash_dualflexpress_divfive-p112.btor,0.57,0.44,dependence,TRUE,Gate,4,11383,18.334,1.16,unsat
qspiflash_dualflexpress_divfive-p116.btor,0.27,0.17,dependence,TRUE,Gate,4,11170,22.235,0.81,unsat
qspiflash_dualflexpress_divfive-p120.btor,0.83,0.61,dependence,TRUE,Gate,4,11384,17.217,1.85,unsat
qspiflash_dualflexpress_divfive-p126.btor,0.33,0.20,dependence,TRUE,Gate,4,11251,17.912,0.90,unsat
qspiflash_dualflexpress_divfive-p127.btor,0.12,0.01,dependence,TRUE,Gate,895,10488,16.252,0.64,unsat
qspiflash_dualflexpress_divfive-p128.btor,0.48,0.37,dependence,TRUE,Gate,4,11014,21.409,1.04,unsat
qspiflash_dualflexpress_divfive-p133.btor,0.29,0.19,dependence,TRUE,Gate,4,10950,21.171,0.87,unsat
qspiflash_dualflexpress_divfive-p135.btor,0.31,0.18,dependence,TRUE,Gate,4,11291,20.633,0.88,unsat
qspiflash_dualflexpress_divfive-p136.btor,0.38,0.28,dependence,TRUE,Gate,4,11325,21.784,0.95,unsat
qspiflash_dualflexpress_divfive-p143.btor,0.84,0.65,dependence,TRUE,Gate,4,10069,20.249,1.73,unsat
qspiflash_dualflexpress_divfive-p154.btor,0.53,0.32,dependence,TRUE,Gate,4,10778,24.652,1.47,unsat
qspiflash_dualflexpress_divfive-p161.btor,0.20,0.01,dependence,TRUE,Gate,895,10488,23.891,1.13,unsat
qspiflash_dualflexpress_divfive-p164.btor,0.80,0.57,dependence,TRUE,Gate,4,11353,25.995,1.75,unsat
qspiflash_dualflexpress_divthree-p005.btor,2.07,1.84,dependence,TRUE,Gate,4,10686,26.264,3.05,unsat
qspiflash_dualflexpress_divthree-p006.btor,0.95,0.74,dependence,TRUE,Gate,4,10727,24.91,1.95,unsat
qspiflash_dualflexpress_divthree-p007.btor,1.80,1.59,dependence,TRUE,Gate,4,10859,26.47,2.75,unsat
qspiflash_dualflexpress_divthree-p010.btor,1.54,1.33,dependence,TRUE,Gate,4,10802,27.251,2.51,unsat
qspiflash_dualflexpress_divthree-p012.btor,2.02,1.79,dependence,TRUE,Gate,4,10847,27.415,3.00,unsat
qspiflash_dualflexpress_divthree-p032.btor,0.86,0.63,dependence,TRUE,Gate,4,11114,26.128,1.86,unsat
qspiflash_dualflexpress_divthree-p034.btor,0.59,0.36,dependence,TRUE,Gate,4,11080,25.588,1.62,unsat
qspiflash_dualflexpress_divthree-p046.btor,1.00,0.77,dependence,TRUE,Gate,4,11257,26.487,2.02,unsat
qspiflash_dualflexpress_divthree-p054.btor,0.61,0.36,dependence,TRUE,Gate,4,11466,26.715,1.69,unsat
qspiflash_dualflexpress_divthree-p068.btor,0.45,0.22,dependence,TRUE,Gate,895,10875,24.885,1.38,unsat
qspiflash_dualflexpress_divthree-p069.btor,0.76,0.52,dependence,TRUE,Gate,4,10936,26.099,1.80,unsat
qspiflash_dualflexpress_divthree-p075.btor,0.87,0.65,dependence,TRUE,Gate,4,11571,26.818,1.93,unsat
qspiflash_dualflexpress_divthree-p076.btor,0.99,0.76,dependence,TRUE,Gate,4,11999,28.048,2.05,unsat
qspiflash_dualflexpress_divthree-p085.btor,1.12,0.88,dependence,TRUE,Gate,4,11999,28.107,2.21,unsat
qspiflash_dualflexpress_divthree-p094.btor,0.83,0.59,dependence,TRUE,Gate,4,11571,27.72,1.87,unsat
qspiflash_dualflexpress_divthree-p106.btor,1.28,1.02,dependence,TRUE,Gate,4,13239,32.406,2.49,unsat
qspiflash_dualflexpress_divthree-p111.btor,1.02,0.77,dependence,TRUE,Gate,4,11982,27.836,2.06,unsat
qspiflash_dualflexpress_divthree-p113.btor,0.46,0.24,dependence,TRUE,Gate,895,10739,24.317,1.42,unsat
qspiflash_dualflexpress_divthree-p121.btor,0.78,0.56,dependence,TRUE,Gate,4,11097,26.15,1.80,unsat
qspiflash_dualflexpress_divthree-p124.btor,0.55,0.32,dependence,TRUE,Gate,4,11458,26.14,1.55,unsat
qspiflash_dualflexpress_divthree-p134.btor,0.52,0.31,dependence,TRUE,Gate,4,11001,25.321,1.48,unsat
qspiflash_dualflexpress_divthree-p136.btor,0.73,0.51,dependence,TRUE,Gate,4,11597,26.394,1.77,unsat
qspiflash_dualflexpress_divthree-p141.btor,0.95,0.74,dependence,TRUE,Gate,4,11554,26.7,1.98,unsat
qspiflash_dualflexpress_divthree-p143.btor,0.83,0.63,dependence,TRUE,Gate,4,10220,20.8,1.79,unsat
qspiflash_dualflexpress_divthree-p151.btor,0.11,0.01,dependence,TRUE,Gate,895,10632,18.123,0.66,unsat
qspiflash_dualflexpress_divthree-p153.btor,0.21,0.01,dependence,TRUE,Gate,895,10632,20.976,1.17,unsat
qspiflash_dualflexpress_divthree-p158.btor,0.50,0.38,dependence,TRUE,Gate,4,10738,15.666,1.06,unsat
qspiflash_dualflexpress_divthree-p161.btor,0.12,0.01,dependence,TRUE,Gate,895,10632,20.223,0.65,unsat
qspiflash_dualflexpress_divthree-p164.btor,0.83,0.60,dependence,TRUE,Gate,4,11625,17.815,1.88,unsat
qspiflash_qflexpress_divfive-p017.btor,0.37,0.26,dependence,TRUE,Gate,4,9825,21.083,0.89,unsat
qspiflash_qflexpress_divfive-p029.btor,0.48,0.38,dependence,TRUE,Gate,4,10503,20.215,1.03,unsat
qspiflash_qflexpress_divfive-p036.btor,0.74,0.56,dependence,TRUE,Gate,4,10107,18.025,1.70,unsat
qspiflash_qflexpress_divfive-p038.btor,0.46,0.36,dependence,TRUE,Gate,4,10261,18.578,1.02,unsat
