index,BMC,BMC_solve,Control,Result,Thinned,bmc_circ_sz,bmc_dag_sz,btor_time,seahorn_total,status
cal102.btor2,,,,,,,,179.769,,
cal106.btor2,,,,,,,,173.911,,
cal107.btor2,,,,,,,,173.59300000000002,,
cal112.btor2,,,,,,,,180.539,,
cal117.btor2,,,,,,,,277.133,,
cal118.btor2,,,,,,,,275.524,,
cal119.btor2,,,,,,,,273.526,,
cal122.btor2,,,,,,,,276.59000000000003,,
cal123.btor2,,,,,,,,279.984,,
cal125.btor2,,,,,,,,280.678,,
cal129.btor2,,,,,,,,285.255,,
cal140.btor2,,,,,,,,233.844,,
cal142.btor2,,,,,,,,182.254,,
cal143.btor2,,,,,,,,193.987,,
cal149.btor2,,,,,,,,184.582,,
cal156.btor2,,,,,,,,39.21,,
cal159.btor2,0.04,0.01,dependence,TRUE,Gate,6,21,34.565,1.53,unsat
cal161.btor2,0.04,0.01,dependence,TRUE,Gate,6,21,37.131,1.56,unsat
cal162.btor2,0.05,0.01,dependence,TRUE,Gate,6,21,37.507,1.60,unsat
cal176.btor2,,,,,,,,173.199,,
cal192.btor2,,,,,,,,39.05,,
cal2.btor2,,,,,,,,11.951,,
cal201.btor2,,,,,,,,38.356,,
cal206.btor2,,,,,,,,38.777,,
cal209.btor2,,,,,,,,38.521,,
cal21.btor2,35.26,35.04,dependence,TRUE,Gate,4,10587,53.795,36.41,unsat
cal210.btor2,,,,,,,,39.392,,
cal220.btor2,,,,,,,,61.391,,
cal224.btor2,,,,,,,,78.239,,
cal227.btor2,,,,,,,,53.503,,
cal234.btor2,,,,,,,,54.934,,
cal33.btor2,,,,,,,,20.403,,
cal34.btor2,,,,,,,,42.044,,
cal35.btor2,,,,,,,,51.338,,
cal37.btor2,238.51,238.05,dependence,TRUE,Gate,4,31336,289.336,240.39,unsat
cal4.btor2,47.00,46.57,dependence,TRUE,Gate,4,18455,73.246,48.84,unsat
cal41.btor2,69.31,68.90,dependence,TRUE,Gate,4,19156,101.19200000000001,71.06,unsat
cal81.btor2,0.06,0.02,dependence,TRUE,Gate,6,21,44.171,2.01,unsat
cal84.btor2,,,,,,,,229.325,,
cal86.btor2,,,,,,,,284.839,,
cal87.btor2,,,,,,,,263.744,,
cal90.btor2,,,,,,,,277.195,,
cal97.btor2,,,,,,,,174.424,,
cal99.btor2,,,,,,,,279.416,,
gen10.btor2,0.67,0.60,dependence,TRUE,Gate,4,4495,9.12,1.05,unsat
gen12.btor2,0.52,0.38,dependence,TRUE,Gate,4,8720,11.391,1.24,unsat
gen14.btor2,0.58,0.45,dependence,TRUE,Gate,4,8720,11.47,1.31,unsat
gen21.btor2,0.43,0.36,dependence,TRUE,Gate,4,3987,7.714,0.77,unsat
gen31.btor2,,,,,,,,20.569,,
gen35.btor2,26.30,26.24,dependence,TRUE,Gate,4,3273,33.096,26.61,unsat
gen39.btor2,1.13,0.99,dependence,TRUE,Gate,4,8735,11.96,1.85,unsat
gen43.btor2,,,,,,,,5.305,,
gen44.btor2,,,,,,,,5.298,,
h_RCU.btor2,1.31,0.90,dependence,TRUE,Gate,4,41613,87.45,3.91,unsat
h_TreeArb.btor2,4.86,4.65,dependence,TRUE,Gate,4,10544,43.115,6.43,unsat
miim.btor2,0.24,0.15,dependence,TRUE,Gate,4,6383,11.353,0.93,unsat
mul1.btor2,,,,,,,,1.437,,
mul2.btor2,,,,,,,,1.456,,
mul3.btor2,,,,,,,,1.405,,
mul7.btor2,,,,,,,,1.721,,
mul9.btor2,,,,,,,,2.553,,
paper_v3.btor2,0.03,0.01,dependence,TRUE,Gate,6,21,0.836,0.05,unsat
vcegar_QF_BV_ar.btor2,0.02,0.01,dependence,TRUE,Gate,6,21,0.741,0.04,unsat
vcegar_QF_BV_itc99_b13_p10.btor2,,,dependence,,Gate,,,0.639,0.01,
vcegar_arrays_itc99_b12_p2.btor2,1.90,1.34,dependence,TRUE,Gate,4,25427,91.34,5.10,unsat
vis_arrays_am2901.btor2,,,,,,,,27.816,,
vis_arrays_am2910_p1.btor2,0.77,0.53,dependence,TRUE,Gate,4,12606,26.174,1.71,unsat
vis_arrays_am2910_p2.btor2,0.11,0.09,dependence,TRUE,Gate,4,1483,3.943,0.26,unsat
vis_arrays_am2910_p3.btor2,0.80,0.56,dependence,TRUE,Gate,4,12642,27.051,1.78,unsat
vis_arrays_buf_bug.btor2,2.87,2.80,dependence,FALSE,Gate,4,4840,13.511,3.12,sat
vis_arrays_bufferAlloc.btor2,29.23,29.15,dependence,TRUE,Gate,4,4581,39.677,29.64,unsat
