index,BMC,BMC_solve,Control,Result,Thinned,bmc_circ_sz,bmc_dag_sz,btor_time,seahorn_total,status
arbitrated_top_n2_w128_d32_e0.btor2,,,,,,,,35.395,,
arbitrated_top_n2_w128_d64_e0.btor2,,,,,,,,48.53,,
arbitrated_top_n2_w64_d64_e0.btor2,231.31,230.17,dependence,TRUE,Gate,4,27216,274.674,233.96,unsat
arbitrated_top_n2_w8_d128_e0.btor2,107.26,105.44,dependence,TRUE,Gate,4,36265,172.635,110.69,unsat
arbitrated_top_n2_w8_d16_e0.btor2,24.69,24.52,dependence,FALSE,Gate,4,8277,40.136,25.52,sat
arbitrated_top_n2_w8_d32_e0.btor2,85.84,85.56,dependence,TRUE,Gate,4,12275,108.03399999999999,87.10,unsat
arbitrated_top_n2_w8_d64_e0.btor2,94.64,93.66,dependence,TRUE,Gate,4,20271,131.131,96.66,unsat
arbitrated_top_n3_w16_d128_e0.btor2,183.34,180.35,dependence,TRUE,Gate,4,54992,281.288,188.80,unsat
arbitrated_top_n3_w16_d32_e0.btor2,105.75,104.82,dependence,TRUE,Gate,4,19105,139.574,107.52,unsat
arbitrated_top_n3_w32_d16_e0.btor2,19.58,19.17,dependence,FALSE,Gate,4,16067,46.054,21.25,sat
arbitrated_top_n3_w64_d128_e0.btor2,,,,,,,,100.976,,
arbitrated_top_n3_w64_d64_e0.btor2,172.18,170.17,dependence,TRUE,Gate,4,39902,235.224,176.04,unsat
arbitrated_top_n3_w8_d128_e0.btor2,60.81,59.19,dependence,TRUE,Gate,4,53523,151.319,63.89,unsat
arbitrated_top_n3_w8_d16_e0.btor2,43.84,43.60,dependence,FALSE,Gate,4,11651,65.353,45.04,sat
arbitrated_top_n4_w128_d16_e0.btor2,99.69,98.11,dependence,FALSE,Gate,4,44324,158.56900000000002,103.74,sat
arbitrated_top_n4_w128_d64_e0.btor2,,,,,,,,94.925,,
arbitrated_top_n4_w16_d16_e0.btor2,17.89,17.30,dependence,FALSE,Gate,4,16996,48.289,19.58,sat
arbitrated_top_n4_w16_d32_e0.btor2,127.24,126.10,dependence,TRUE,Gate,4,24967,170.923,129.75,unsat
arbitrated_top_n4_w16_d64_e0.btor2,177.48,175.26,dependence,TRUE,Gate,4,40899,250.851,181.79,unsat
arbitrated_top_n4_w32_d32_e0.btor2,166.26,165.00,dependence,TRUE,Gate,4,28872,214.39600000000002,169.04,unsat
arbitrated_top_n4_w64_d32_e0.btor2,175.38,173.93,dependence,TRUE,Gate,4,36679,230.597,178.82,unsat
arbitrated_top_n4_w8_d64_e0.btor2,146.98,145.08,dependence,TRUE,Gate,4,38945,217.131,150.68,unsat
arbitrated_top_n5_w128_d64_e0.btor2,,,,,,,,118.757,,
arbitrated_top_n5_w128_d8_e0.btor2,18.31,16.58,dependence,FALSE,Gate,4,49945,83.96600000000001,23.09,sat
arbitrated_top_n5_w32_d32_e0.btor2,115.39,113.73,dependence,TRUE,Gate,4,35688,176.466,118.74,unsat
arbitrated_top_n5_w64_d16_e0.btor2,77.61,76.33,dependence,FALSE,Gate,4,35467,128.138,80.86,sat
arbitrated_top_n5_w8_d32_e0.btor2,140.43,139.10,dependence,TRUE,Gate,4,28390,192.553,143.44,unsat
buggy_ridecore.btor,,,,,,,,80.798,,
circular_pointer_top_w128_d128_e0.btor2,,,,,,,,29.217,,
circular_pointer_top_w128_d64_e0.btor2,,,,,,,,16.736,,
circular_pointer_top_w128_d8_e0.btor2,21.52,21.46,dependence,FALSE,Gate,4,2982,27.362,21.82,sat
circular_pointer_top_w16_d128_e0.btor2,,,,,,,,30.096,,
circular_pointer_top_w16_d32_e0.btor2,276.20,276.08,dependence,TRUE,Gate,4,6006,287.1,276.79,unsat
circular_pointer_top_w16_d64_e0.btor2,233.79,233.58,dependence,TRUE,Gate,4,10032,251.785,234.80,unsat
circular_pointer_top_w32_d16_e0.btor2,280.98,280.90,dependence,FALSE,Gate,4,3990,288.631,281.39,sat
circular_pointer_top_w32_d32_e0.btor2,,,,,,,,10.715,,
circular_pointer_top_w64_d128_e0.btor2,,,,,,,,30.36,,
circular_pointer_top_w64_d8_e0.btor2,5.21,5.15,dependence,FALSE,Gate,4,2981,11.008,5.51,sat
circular_pointer_top_w8_d16_e0.btor2,85.05,84.96,dependence,FALSE,Gate,4,3989,92.825,85.47,sat
intersymbol_analog_estimation_convergence.btor,7.35,7.28,dependence,TRUE,Gate,4,3142,13.225,7.65,unsat
ridecore.btor,,,,,,,,81.65899999999999,,
shift_register_top_w128_d16_e0.btor2,,,,,,,,9.093,,
shift_register_top_w128_d64_e0.btor2,,,,,,,,15.944,,
shift_register_top_w16_d128_e0.btor2,,,,,,,,28.151,,
shift_register_top_w16_d16_e0.btor2,,,,,,,,8.879,,
shift_register_top_w16_d32_e0.btor2,,,,,,,,11.553,,
shift_register_top_w16_d64_e0.btor2,,,,,,,,16.089,,
shift_register_top_w16_d8_e0.btor2,30.61,30.55,dependence,FALSE,Gate,4,2902,36.876,30.93,sat
shift_register_top_w32_d128_e0.btor2,,,,,,,,28.118,,
shift_register_top_w32_d16_e0.btor2,,,,,,,,8.759,,
shift_register_top_w32_d8_e0.btor2,22.40,22.33,dependence,FALSE,Gate,4,2900,28.919,22.74,sat
shift_register_top_w64_d8_e0.btor2,155.40,155.34,dependence,FALSE,Gate,4,2901,161.768,155.71,sat
shift_register_top_w8_d128_e0.btor2,232.21,232.13,dependence,TRUE,Gate,4,3687,261.646,232.66,unsat
