index,btor_time
picorv32_mutAX_mem-p0.btor,0.04
picorv32_mutAX_mem-p7.btor,0.038
picorv32_mutAY_mem-p5.btor,0.035
picorv32_mutAY_mem-p6.btor,0.016
picorv32_mutAY_mem-p8.btor,0.04
picorv32_mutBX_mem-p1.btor,0.043
picorv32_mutBX_mem-p2.btor,0.048
picorv32_mutBX_mem-p5.btor,0.048
picorv32_mutBX_mem-p6.btor,0.052
picorv32_mutBX_mem-p7.btor,0.042
picorv32_mutBY_mem-p4.btor,0.033
picorv32_mutBY_mem-p8.btor,0.027
picorv32_mutCX_mem-p0.btor,0.044
picorv32_mutCX_mem-p3.btor,0.037
picorv32_mutCX_mem-p7.btor,0.04
picorv32_mutCY_mem-p1.btor,0.031
picorv32_mutCY_mem-p3.btor,0.022
picorv32_mutCY_mem-p8.btor,0.042
