index,btor_time
VexRiscv-regch0-15-p0.btor,0.008
VexRiscv-regch0-20-p0.btor,0.016
VexRiscv-regch0-30-p1.btor,0.022
picorv32-check-p05.btor,0.019
picorv32-check-p09.btor,0.012
picorv32-check-p12.btor,0.012
picorv32-check-p19.btor,0.02
picorv32-check-p20.btor,0.02
picorv32-check-p22.btor,0.025
picorv32-pcregs-p0.btor,0.009
picorv32-pcregs-p2.btor,0.026
ponylink-slaveTXlen-unsat.btor,0.038
zipcpu-busdelay-p00.btor,0.008
zipcpu-busdelay-p15.btor,0.009
zipcpu-busdelay-p30.btor,0.012
zipcpu-busdelay-p36.btor,0.008
zipcpu-busdelay-p43.btor,0.018
zipcpu-busdelay-p46.btor,0.012
zipcpu-busdelay-p47.btor,0.011
zipcpu-pfcache-p01.btor,0.022
zipcpu-pfcache-p02.btor,0.004
zipcpu-pfcache-p13.btor,0.019
zipcpu-pfcache-p20.btor,0.023
zipcpu-pfcache-p22.btor,0.012
zipcpu-pfcache-p24.btor,0.012
zipcpu-pfcache-p27.btor,0.012
zipcpu-pfcache-p28.btor,0.019
zipcpu-zipmmu-p00.btor,0.012
zipcpu-zipmmu-p02.btor,0.019
zipcpu-zipmmu-p09.btor,0.011
zipcpu-zipmmu-p14.btor,0.016
zipcpu-zipmmu-p26.btor,0.017
zipcpu-zipmmu-p31.btor,0.009
zipcpu-zipmmu-p33.btor,0.008
zipcpu-zipmmu-p39.btor,0.012
zipcpu-zipmmu-p48.btor,0.019
