index,btor_time
picorv32_mutAX_nomem-p0.btor,0.033
picorv32_mutAX_nomem-p2.btor,0.037
picorv32_mutAX_nomem-p5.btor,0.031
picorv32_mutAY_nomem-p1.btor,0.039
picorv32_mutAY_nomem-p4.btor,0.044
picorv32_mutAY_nomem-p6.btor,0.021
picorv32_mutBX_nomem-p0.btor,0.029
picorv32_mutBX_nomem-p5.btor,0.057
picorv32_mutBX_nomem-p8.btor,0.045
picorv32_mutBY_nomem-p1.btor,0.039
picorv32_mutBY_nomem-p3.btor,0.034
picorv32_mutBY_nomem-p4.btor,0.04
picorv32_mutBY_nomem-p6.btor,0.028
picorv32_mutBY_nomem-p7.btor,0.028
picorv32_mutCX_nomem-p0.btor,0.042
picorv32_mutCX_nomem-p8.btor,0.049
picorv32_mutCY_nomem-p0.btor,0.04
picorv32_mutCY_nomem-p3.btor,0.024
