index,btor_time
dspfilters_fastfir_second-p04.btor,0.036
dspfilters_fastfir_second-p05.btor,0.045
dspfilters_fastfir_second-p06.btor,0.044
dspfilters_fastfir_second-p07.btor,0.045
dspfilters_fastfir_second-p09.btor,0.036
dspfilters_fastfir_second-p10.btor,0.047
dspfilters_fastfir_second-p11.btor,0.038
dspfilters_fastfir_second-p14.btor,0.042
dspfilters_fastfir_second-p16.btor,0.039
dspfilters_fastfir_second-p18.btor,0.044
dspfilters_fastfir_second-p21.btor,0.033
dspfilters_fastfir_second-p22.btor,0.045
dspfilters_fastfir_second-p25.btor,0.031
dspfilters_fastfir_second-p26.btor,0.037
dspfilters_fastfir_second-p42.btor,0.047
dspfilters_fastfir_second-p43.btor,0.048
dspfilters_fastfir_second-p45.btor,0.035
qspiflash_dualflexpress_divfive-p007.btor,0.022
qspiflash_dualflexpress_divfive-p009.btor,0.016
qspiflash_dualflexpress_divfive-p016.btor,0.031
qspiflash_dualflexpress_divfive-p022.btor,0.017
qspiflash_dualflexpress_divfive-p037.btor,0.032
qspiflash_dualflexpress_divfive-p050.btor,0.024
qspiflash_dualflexpress_divfive-p054.btor,0.018
qspiflash_dualflexpress_divfive-p058.btor,0.022
qspiflash_dualflexpress_divfive-p074.btor,0.025
qspiflash_dualflexpress_divfive-p079.btor,0.015
qspiflash_dualflexpress_divfive-p092.btor,0.015
qspiflash_dualflexpress_divfive-p097.btor,0.027
qspiflash_dualflexpress_divfive-p112.btor,0.022
qspiflash_dualflexpress_divfive-p116.btor,0.016
qspiflash_dualflexpress_divfive-p120.btor,0.016
qspiflash_dualflexpress_divfive-p126.btor,0.014
qspiflash_dualflexpress_divfive-p127.btor,0.012
qspiflash_dualflexpress_divfive-p128.btor,0.016
qspiflash_dualflexpress_divfive-p133.btor,0.021
qspiflash_dualflexpress_divfive-p135.btor,0.012
qspiflash_dualflexpress_divfive-p136.btor,0.019
qspiflash_dualflexpress_divfive-p143.btor,0.024
qspiflash_dualflexpress_divfive-p154.btor,0.024
qspiflash_dualflexpress_divfive-p161.btor,0.025
qspiflash_dualflexpress_divfive-p164.btor,0.018
qspiflash_dualflexpress_divthree-p005.btor,0.013
qspiflash_dualflexpress_divthree-p006.btor,0.018
qspiflash_dualflexpress_divthree-p007.btor,0.025
qspiflash_dualflexpress_divthree-p010.btor,0.022
qspiflash_dualflexpress_divthree-p012.btor,0.017
qspiflash_dualflexpress_divthree-p032.btor,0.026
qspiflash_dualflexpress_divthree-p034.btor,0.022
qspiflash_dualflexpress_divthree-p046.btor,0.018
qspiflash_dualflexpress_divthree-p054.btor,0.019
qspiflash_dualflexpress_divthree-p068.btor,0.02
qspiflash_dualflexpress_divthree-p069.btor,0.018
qspiflash_dualflexpress_divthree-p075.btor,0.027
qspiflash_dualflexpress_divthree-p076.btor,0.017
qspiflash_dualflexpress_divthree-p085.btor,0.021
qspiflash_dualflexpress_divthree-p094.btor,0.023
qspiflash_dualflexpress_divthree-p106.btor,0.024
qspiflash_dualflexpress_divthree-p111.btor,0.034
qspiflash_dualflexpress_divthree-p113.btor,0.026
qspiflash_dualflexpress_divthree-p121.btor,0.029
qspiflash_dualflexpress_divthree-p124.btor,0.017
qspiflash_dualflexpress_divthree-p134.btor,0.025
qspiflash_dualflexpress_divthree-p136.btor,0.021
qspiflash_dualflexpress_divthree-p141.btor,0.016
