index,btor_time
anderson.3.prop1-back-serstep.btor2,0.008
at.6.prop1-back-serstep.btor2,0.011
blocks.4.prop1-back-serstep.btor2,0.013
brp2.2.prop1-func-interl.btor2,0.009
brp2.3.prop1-back-serstep.btor2,0.018
brp2.6.prop3-back-serstep.btor2,0.024
elevator.4.prop1-func-interl.btor2,0.012
frogs.5.prop1-func-interl.btor2,0.02
krebs.3.prop1-func-interl.btor2,0.022
mcs.3.prop1-back-serstep.btor2,0.012
msmie.3.prop1-func-interl.btor2,0.011
peg_solitaire.3.prop1-back-serstep.btor2,0.021
pgm_protocol.3.prop5-func-interl.btor2,0.028
pgm_protocol.7.prop1-back-serstep.btor2,0.018
rushhour.4.prop1-func-interl.btor2,0.037
