index,btor_time
cal102.btor2,0.039
cal106.btor2,0.053
cal107.btor2,0.037
cal112.btor2,0.039
cal117.btor2,0.049
cal118.btor2,0.04
cal119.btor2,0.034
cal122.btor2,0.04
cal123.btor2,0.043
cal125.btor2,0.046
cal129.btor2,0.04
cal140.btor2,0.041
cal142.btor2,0.045
cal143.btor2,0.042
cal149.btor2,0.051
cal156.btor2,0.058
cal159.btor2,0.048
cal161.btor2,0.039
cal162.btor2,0.042
cal176.btor2,0.067
cal192.btor2,0.073
cal2.btor2,0.013
cal201.btor2,0.075
cal206.btor2,0.069
cal209.btor2,0.07
cal21.btor2,0.019
cal210.btor2,0.086
cal220.btor2,0.111
cal224.btor2,0.127
cal227.btor2,0.108
cal234.btor2,0.056
cal33.btor2,0.029
cal34.btor2,0.027
cal35.btor2,0.012
cal37.btor2,0.016
cal4.btor2,0.015
cal41.btor2,0.022
cal81.btor2,0.07
cal84.btor2,0.031
cal86.btor2,0.052
cal87.btor2,0.037
cal90.btor2,0.039
cal97.btor2,0.043
cal99.btor2,0.054
gen10.btor2,0.015
gen12.btor2,0.021
gen14.btor2,0.015
gen21.btor2,0.004
gen31.btor2,0.017
gen35.btor2,0.018
gen39.btor2,0.027
gen43.btor2,0.008
gen44.btor2,0.015
h_RCU.btor2,0.019
h_TreeArb.btor2,0.009
miim.btor2,0.015
mul1.btor2,0.007
mul2.btor2,0.007
mul3.btor2,0.008
mul7.btor2,0.008
mul9.btor2,0.012
paper_v3.btor2,0.009
vcegar_QF_BV_ar.btor2,0.014
vcegar_QF_BV_itc99_b13_p10.btor2,0.013
vcegar_arrays_itc99_b12_p2.btor2,0.021
vis_arrays_am2901.btor2,0.009
vis_arrays_am2910_p1.btor2,0.017
vis_arrays_am2910_p2.btor2,0.015
vis_arrays_am2910_p3.btor2,0.012
vis_arrays_buf_bug.btor2,0.013
vis_arrays_bufferAlloc.btor2,0.011
