index,btor_time
arbitrated_top_n2_w128_d32_e0.btor2,0.017
arbitrated_top_n2_w128_d64_e0.btor2,0.016
arbitrated_top_n2_w64_d64_e0.btor2,0.016
arbitrated_top_n2_w8_d128_e0.btor2,0.022
arbitrated_top_n2_w8_d16_e0.btor2,0.017
arbitrated_top_n2_w8_d32_e0.btor2,0.023
arbitrated_top_n2_w8_d64_e0.btor2,0.014
arbitrated_top_n3_w16_d128_e0.btor2,0.034
arbitrated_top_n3_w16_d32_e0.btor2,0.004
arbitrated_top_n3_w32_d16_e0.btor2,0.018
arbitrated_top_n3_w64_d128_e0.btor2,0.02
arbitrated_top_n3_w64_d64_e0.btor2,0.021
arbitrated_top_n3_w8_d128_e0.btor2,0.013
arbitrated_top_n3_w8_d16_e0.btor2,0.02
arbitrated_top_n4_w128_d16_e0.btor2,0.012
arbitrated_top_n4_w128_d64_e0.btor2,0.032
arbitrated_top_n4_w16_d16_e0.btor2,0.019
arbitrated_top_n4_w16_d32_e0.btor2,0.024
arbitrated_top_n4_w16_d64_e0.btor2,0.033
arbitrated_top_n4_w32_d32_e0.btor2,0.015
arbitrated_top_n4_w64_d32_e0.btor2,0.009
arbitrated_top_n4_w8_d64_e0.btor2,0.032
arbitrated_top_n5_w128_d64_e0.btor2,0.032
arbitrated_top_n5_w128_d8_e0.btor2,0.013
arbitrated_top_n5_w32_d32_e0.btor2,0.017
arbitrated_top_n5_w64_d16_e0.btor2,0.02
arbitrated_top_n5_w8_d32_e0.btor2,0.02
buggy_ridecore.btor,0.234
circular_pointer_top_w128_d128_e0.btor2,0.015
circular_pointer_top_w128_d64_e0.btor2,0.012
circular_pointer_top_w128_d8_e0.btor2,0.011
circular_pointer_top_w16_d128_e0.btor2,0.022
circular_pointer_top_w16_d32_e0.btor2,0.016
circular_pointer_top_w16_d64_e0.btor2,0.009
circular_pointer_top_w32_d16_e0.btor2,0.014
circular_pointer_top_w32_d32_e0.btor2,0.012
circular_pointer_top_w64_d128_e0.btor2,0.022
circular_pointer_top_w64_d8_e0.btor2,0.015
circular_pointer_top_w8_d16_e0.btor2,0.015
intersymbol_analog_estimation_convergence.btor,0.01
ridecore.btor,0.237
shift_register_top_w128_d16_e0.btor2,0.008
shift_register_top_w128_d64_e0.btor2,0.02
shift_register_top_w16_d128_e0.btor2,0.016
shift_register_top_w16_d16_e0.btor2,0.014
shift_register_top_w16_d32_e0.btor2,0.014
shift_register_top_w16_d64_e0.btor2,0.021
shift_register_top_w16_d8_e0.btor2,0.013
shift_register_top_w32_d128_e0.btor2,0.013
shift_register_top_w32_d16_e0.btor2,0.011
shift_register_top_w32_d8_e0.btor2,0.012
shift_register_top_w64_d8_e0.btor2,0.01
shift_register_top_w8_d128_e0.btor2,0.009
