index,BMC,Control,Thinned,bmc_circ_sz,bmc_dag_sz,btor_time,seahorn_total
VexRiscv-regch0-15-p0.btor,2.01,dependence,Gate,4,29144,85.037,3.41
VexRiscv-regch0-20-p0.btor,1.74,dependence,Gate,101,29058,85.518,3.16
VexRiscv-regch0-30-p1.btor,0.01,dependence,Gate,94,244,55.305,0.12
picorv32-check-p05.btor,127.43,dependence,Gate,4,25828,210.383,130.29
picorv32-check-p09.btor,80.41,dependence,Gate,4,25884,160.844,83.11
picorv32-check-p12.btor,,,,,,76.385,
picorv32-check-p19.btor,,,,,,82.324,
picorv32-check-p20.btor,82.25,dependence,Gate,4,26504,167.519,85.30
picorv32-check-p22.btor,185.27,dependence,Gate,4,25825,265.308,189.16
picorv32-pcregs-p0.btor,3.34,dependence,Gate,4,26933,123.797,4.76
picorv32-pcregs-p2.btor,5.68,dependence,Gate,4,27249,128.672,7.16
ponylink-slaveTXlen-unsat.btor,3.89,dependence,Gate,4,39169,286.476,5.67
zipcpu-busdelay-p00.btor,0.33,dependence,Gate,4,4625,11.214,0.82
zipcpu-busdelay-p15.btor,0.48,dependence,Gate,4,5794,12.761,1.13
zipcpu-busdelay-p30.btor,0.33,dependence,Gate,4,4575,10.393,0.87
zipcpu-busdelay-p36.btor,0.35,dependence,Gate,4,4673,10.873,0.87
zipcpu-busdelay-p43.btor,0.39,dependence,Gate,4,5143,11.679,1.00
zipcpu-busdelay-p46.btor,0.32,dependence,Gate,4,4558,10.132,0.81
zipcpu-busdelay-p47.btor,0.32,dependence,Gate,4,4543,10.397,0.87
zipcpu-pfcache-p01.btor,0.62,dependence,Gate,4,8029,28.389,1.48
zipcpu-pfcache-p02.btor,0.63,dependence,Gate,4,8025,29.133,1.48
zipcpu-pfcache-p13.btor,0.66,dependence,Gate,4,12067,43.161,1.39
zipcpu-pfcache-p20.btor,0.43,dependence,Gate,4,8413,29.02,1.07
zipcpu-pfcache-p22.btor,0.63,dependence,Gate,4,8034,25.284,1.50
zipcpu-pfcache-p24.btor,0.62,dependence,Gate,4,8119,27.358,1.48
zipcpu-pfcache-p27.btor,0.44,dependence,Gate,4,8482,30.128,1.01
zipcpu-pfcache-p28.btor,0.72,dependence,Gate,4,13186,39.484,1.49
zipcpu-zipmmu-p00.btor,0.83,dependence,Gate,4,10296,30.765,1.81
zipcpu-zipmmu-p02.btor,0.82,dependence,Gate,4,10263,28.868,1.86
zipcpu-zipmmu-p09.btor,0.60,dependence,Gate,4,11046,30.024,1.38
zipcpu-zipmmu-p14.btor,0.60,dependence,Gate,4,10275,28.059,1.22
zipcpu-zipmmu-p26.btor,0.85,dependence,Gate,4,10316,30.198,1.84
zipcpu-zipmmu-p31.btor,0.57,dependence,Gate,4,10432,30.659,1.21
zipcpu-zipmmu-p33.btor,0.92,dependence,Gate,4,10296,30.578,1.91
zipcpu-zipmmu-p39.btor,0.69,dependence,Gate,4,10798,30.311,1.71
zipcpu-zipmmu-p48.btor,0.54,dependence,Gate,4,10269,24.494,1.21
