index,btor_time
picorv32_mutAX_nomem-p0.btor,38.811
picorv32_mutAX_nomem-p2.btor,38.804
picorv32_mutAX_nomem-p5.btor,56.715
picorv32_mutAY_nomem-p1.btor,22.158
picorv32_mutAY_nomem-p4.btor,267.752
picorv32_mutAY_nomem-p6.btor,27.03
picorv32_mutBX_nomem-p0.btor,40.101
picorv32_mutBX_nomem-p5.btor,44.672
picorv32_mutBX_nomem-p8.btor,42.255
picorv32_mutBY_nomem-p1.btor,277.204
picorv32_mutBY_nomem-p3.btor,274.494
picorv32_mutBY_nomem-p4.btor,20.77
picorv32_mutBY_nomem-p6.btor,272.166
picorv32_mutBY_nomem-p7.btor,268.265
picorv32_mutCX_nomem-p0.btor,39.73
picorv32_mutCX_nomem-p8.btor,39.942
picorv32_mutCY_nomem-p0.btor,270.199
picorv32_mutCY_nomem-p3.btor,275.071
