index,BMC,Control,Thinned,bmc_circ_sz,bmc_dag_sz,btor_time,seahorn_total
dspfilters_fastfir_second-p04.btor,5.38,dependence,Gate,4,101054,268.88,14.83
dspfilters_fastfir_second-p05.btor,7.79,dependence,Gate,4,100820,270.35699999999997,18.38
dspfilters_fastfir_second-p06.btor,5.32,dependence,Gate,4,100820,273.581,15.61
dspfilters_fastfir_second-p07.btor,5.28,dependence,Gate,4,101089,268.18,14.78
dspfilters_fastfir_second-p09.btor,5.37,dependence,Gate,4,101085,268.259,14.80
dspfilters_fastfir_second-p10.btor,5.32,dependence,Gate,4,101083,274.945,14.84
dspfilters_fastfir_second-p11.btor,,,,,,294.618,
dspfilters_fastfir_second-p14.btor,5.33,dependence,Gate,4,101079,275.3,14.87
dspfilters_fastfir_second-p16.btor,5.31,dependence,Gate,4,100841,275.886,14.84
dspfilters_fastfir_second-p18.btor,5.31,dependence,Gate,4,100820,276.154,14.71
dspfilters_fastfir_second-p21.btor,5.38,dependence,Gate,4,100807,268.237,17.90
dspfilters_fastfir_second-p22.btor,4.91,dependence,Gate,4,101066,264.011,13.86
dspfilters_fastfir_second-p25.btor,,,,,,286.914,
dspfilters_fastfir_second-p26.btor,5.00,dependence,Gate,4,101073,254.583,14.43
dspfilters_fastfir_second-p42.btor,4.72,dependence,Gate,4,100832,262.533,13.58
dspfilters_fastfir_second-p43.btor,4.99,dependence,Gate,4,101075,259.499,14.04
dspfilters_fastfir_second-p45.btor,4.76,dependence,Gate,4,101077,260.669,13.66
qspiflash_dualflexpress_divfive-p007.btor,0.91,dependence,Gate,4,10715,26.616,1.92
qspiflash_dualflexpress_divfive-p009.btor,0.92,dependence,Gate,4,11158,26.935,1.94
qspiflash_dualflexpress_divfive-p016.btor,0.86,dependence,Gate,4,10579,25.863,1.76
qspiflash_dualflexpress_divfive-p022.btor,0.86,dependence,Gate,4,10529,27.17,1.84
qspiflash_dualflexpress_divfive-p037.btor,0.90,dependence,Gate,4,10863,26.552,1.87
qspiflash_dualflexpress_divfive-p050.btor,0.88,dependence,Gate,4,10767,26.308,1.77
qspiflash_dualflexpress_divfive-p054.btor,0.93,dependence,Gate,4,11210,27.659,1.94
qspiflash_dualflexpress_divfive-p058.btor,0.94,dependence,Gate,4,11194,27.401,1.95
qspiflash_dualflexpress_divfive-p074.btor,0.87,dependence,Gate,4,10840,26.684,1.87
qspiflash_dualflexpress_divfive-p079.btor,0.92,dependence,Gate,4,11027,26.81,1.93
qspiflash_dualflexpress_divfive-p092.btor,0.95,dependence,Gate,4,11387,27.775,1.99
qspiflash_dualflexpress_divfive-p097.btor,0.86,dependence,Gate,4,11172,26.08,1.76
qspiflash_dualflexpress_divfive-p112.btor,0.96,dependence,Gate,4,11383,27.49,2.02
