index,BMC,Control,Thinned,bmc_circ_sz,bmc_dag_sz,btor_time,seahorn_total
cal102.btor2,,,,,,186.852,
cal106.btor2,,,,,,178.82999999999998,
cal107.btor2,,,,,,181.467,
cal112.btor2,,,,,,185.589,
cal117.btor2,,,,,,286.571,
cal118.btor2,,,,,,284.402,
cal119.btor2,,,,,,283.306,
cal122.btor2,,,,,,282.86,
cal123.btor2,,,,,,291.548,
cal125.btor2,,,,,,291.084,
cal129.btor2,,,,,,291.821,
cal140.btor2,5.43,dependence,Gate,4,83898,297.159,11.18
cal142.btor2,5.41,dependence,Gate,4,84127,285.863,10.59
cal143.btor2,4.89,dependence,Gate,4,85231,260.121,9.85
cal149.btor2,4.98,dependence,Gate,4,83699,238.745,9.54
cal156.btor2,,,,,,220.652,
cal159.btor2,0.02,dependence,Gate,6,21,25.254,0.93
cal161.btor2,0.02,dependence,Gate,6,21,26.045,0.94
cal162.btor2,0.03,dependence,Gate,6,21,39.645,1.50
cal176.btor2,,,,,,178.632,
cal192.btor2,,,,,,37.947,
cal2.btor2,0.34,dependence,Gate,4,4323,13.884,1.07
cal201.btor2,,,,,,37.361,
cal206.btor2,,,,,,38.786,
cal209.btor2,,,,,,38.384,
cal21.btor2,0.89,dependence,Gate,4,10587,20.334,1.92
cal210.btor2,,,,,,38.763,
cal220.btor2,,,,,,61.311,
cal224.btor2,,,,,,79.594,
cal227.btor2,,,,,,61.523,
cal234.btor2,,,,,,62.181,
cal33.btor2,1.03,dependence,Gate,4,12164,26.263,2.51
cal34.btor2,1.62,dependence,Gate,4,19040,48.356,3.70
cal35.btor2,1.72,dependence,Gate,4,30675,38.281,3.43
cal37.btor2,1.76,dependence,Gate,4,31336,38.128,3.51
cal4.btor2,0.95,dependence,Gate,4,18455,23.935,1.93
cal41.btor2,1.68,dependence,Gate,4,19156,35.337,3.46
cal81.btor2,0.04,dependence,Gate,6,21,48.091,2.08
cal84.btor2,8.78,dependence,Gate,4,80299,252.9,17.60
cal86.btor2,,,,,,293.798,
cal87.btor2,8.79,dependence,Gate,4,86808,283.703,17.07
cal90.btor2,,,,,,296.06600000000003,
cal97.btor2,,,,,,298.719,
cal99.btor2,,,,,,286.938,
gen10.btor2,0.29,dependence,Gate,4,4495,9.336,0.71
gen12.btor2,0.53,dependence,Gate,4,8720,12.671,1.31
gen14.btor2,0.52,dependence,Gate,4,8720,12.535,1.33
gen21.btor2,0.24,dependence,Gate,4,3987,7.536,0.57
gen31.btor2,2.66,dependence,Gate,4,21427,30.464,4.59
gen35.btor2,0.23,dependence,Gate,4,3273,6.9,0.50
gen39.btor2,0.48,dependence,Gate,4,8735,11.794,1.20
gen43.btor2,0.13,dependence,Gate,4,2931,5.763,0.28
gen44.btor2,0.13,dependence,Gate,4,2873,4.283,0.28
h_RCU.btor2,1.62,dependence,Gate,4,41613,63.283,4.03
h_TreeArb.btor2,0.70,dependence,Gate,4,10544,39.766,2.15
miim.btor2,0.39,dependence,Gate,4,6383,12.476,1.08
mul1.btor2,0.06,dependence,Gate,4,830,1.718,0.16
mul2.btor2,0.06,dependence,Gate,4,830,1.735,0.15
mul3.btor2,0.06,dependence,Gate,4,831,1.667,0.14
mul7.btor2,0.05,dependence,Gate,4,761,1.941,0.14
mul9.btor2,0.07,dependence,Gate,4,1330,3.018,0.21
paper_v3.btor2,0.01,dependence,Gate,6,21,0.86,0.03
vcegar_QF_BV_ar.btor2,0.02,dependence,Gate,6,21,0.773,0.03
vcegar_QF_BV_itc99_b13_p10.btor2,,dependence,Gate,,,0.615,0.01
vcegar_arrays_itc99_b12_p2.btor2,1.63,dependence,Gate,4,25427,94.709,4.98
vis_arrays_am2901.btor2,,,,,,28.154,
vis_arrays_am2910_p1.btor2,1.07,dependence,Gate,4,12606,28.651,2.01
vis_arrays_am2910_p2.btor2,0.10,dependence,Gate,4,1483,3.879,0.24
vis_arrays_am2910_p3.btor2,0.65,dependence,Gate,4,12642,20.736,1.24
vis_arrays_buf_bug.btor2,0.43,dependence,Gate,4,4840,11.307,0.86
vis_arrays_bufferAlloc.btor2,0.39,dependence,Gate,4,4581,8.616,0.80
