index,BMC,Control,Thinned,bmc_circ_sz,bmc_dag_sz,btor_time,seahorn_total
arbitrated_top_n2_w128_d32_e0.btor2,2.08,dependence,Gate,4,27155,41.81,3.90
arbitrated_top_n2_w128_d64_e0.btor2,2.63,dependence,Gate,4,35152,54.161,4.88
arbitrated_top_n2_w64_d64_e0.btor2,3.50,dependence,Gate,4,27216,49.558,6.19
arbitrated_top_n2_w8_d128_e0.btor2,3.09,dependence,Gate,4,36265,63.285,5.06
arbitrated_top_n2_w8_d16_e0.btor2,0.80,dependence,Gate,4,8277,16.938,1.64
arbitrated_top_n2_w8_d32_e0.btor2,1.31,dependence,Gate,4,12275,24.89,2.52
arbitrated_top_n2_w8_d64_e0.btor2,2.77,dependence,Gate,4,20271,40.989,4.54
arbitrated_top_n3_w16_d128_e0.btor2,4.59,dependence,Gate,4,54992,84.725,7.54
arbitrated_top_n3_w16_d32_e0.btor2,1.50,dependence,Gate,4,19105,36.739,2.86
arbitrated_top_n3_w32_d16_e0.btor2,1.14,dependence,Gate,4,16067,28.134,2.24
arbitrated_top_n3_w64_d128_e0.btor2,5.20,dependence,Gate,4,63826,80.89099999999999,8.33
arbitrated_top_n3_w64_d64_e0.btor2,3.32,dependence,Gate,4,39902,51.65,5.42
arbitrated_top_n3_w8_d128_e0.btor2,4.19,dependence,Gate,4,53523,73.371,6.89
arbitrated_top_n3_w8_d16_e0.btor2,1.28,dependence,Gate,4,11651,23.977,2.44
arbitrated_top_n4_w128_d16_e0.btor2,3.88,dependence,Gate,4,44324,60.752,6.25
arbitrated_top_n4_w128_d64_e0.btor2,5.62,dependence,Gate,4,68228,87.144,9.17
arbitrated_top_n4_w16_d16_e0.btor2,2.20,dependence,Gate,4,16996,33.417,3.86
arbitrated_top_n4_w16_d32_e0.btor2,3.43,dependence,Gate,4,24967,47.228,5.81
arbitrated_top_n4_w16_d64_e0.btor2,3.38,dependence,Gate,4,40899,66.858,5.69
arbitrated_top_n4_w32_d32_e0.btor2,2.49,dependence,Gate,4,28872,50.296,4.77
arbitrated_top_n4_w64_d32_e0.btor2,3.16,dependence,Gate,4,36679,55.798,5.77
arbitrated_top_n4_w8_d64_e0.btor2,3.22,dependence,Gate,4,38945,63.009,5.39
arbitrated_top_n5_w128_d64_e0.btor2,6.73,dependence,Gate,4,84777,95.575,10.91
arbitrated_top_n5_w128_d8_e0.btor2,4.36,dependence,Gate,4,49945,57.548,6.96
arbitrated_top_n5_w32_d32_e0.btor2,2.90,dependence,Gate,4,35688,50.525,4.78
arbitrated_top_n5_w64_d16_e0.btor2,2.85,dependence,Gate,4,35467,42.861,4.71
arbitrated_top_n5_w8_d32_e0.btor2,2.25,dependence,Gate,4,28390,51.745,5.02
buggy_ridecore.btor,,,,,,59.898,
circular_pointer_top_w128_d128_e0.btor2,2.43,dependence,Gate,4,18102,35.552,4.11
circular_pointer_top_w128_d64_e0.btor2,1.08,dependence,Gate,4,10032,19.876,2.08
circular_pointer_top_w128_d8_e0.btor2,0.27,dependence,Gate,4,2982,6.484,0.57
circular_pointer_top_w16_d128_e0.btor2,2.47,dependence,Gate,4,18101,36.42,4.31
circular_pointer_top_w16_d32_e0.btor2,0.63,dependence,Gate,4,6006,12.215,1.19
circular_pointer_top_w16_d64_e0.btor2,1.15,dependence,Gate,4,10032,20.292,2.09
circular_pointer_top_w32_d16_e0.btor2,0.39,dependence,Gate,4,3990,8.484,0.82
circular_pointer_top_w32_d32_e0.btor2,0.63,dependence,Gate,4,6006,12.33,1.24
circular_pointer_top_w64_d128_e0.btor2,2.40,dependence,Gate,4,18101,36.185,4.14
circular_pointer_top_w64_d8_e0.btor2,0.27,dependence,Gate,4,2981,6.436,0.57
circular_pointer_top_w8_d16_e0.btor2,0.36,dependence,Gate,4,3989,8.471,0.75
intersymbol_analog_estimation_convergence.btor,0.28,dependence,Gate,4,3142,6.165,0.57
ridecore.btor,,,,,,59.143,
shift_register_top_w128_d16_e0.btor2,0.38,dependence,Gate,4,3570,9.984,0.73
shift_register_top_w128_d64_e0.btor2,0.39,dependence,Gate,4,3693,17.671,0.78
shift_register_top_w16_d128_e0.btor2,0.38,dependence,Gate,4,3689,30.492,0.81
shift_register_top_w16_d16_e0.btor2,0.36,dependence,Gate,4,3570,9.933,0.71
shift_register_top_w16_d32_e0.btor2,0.38,dependence,Gate,4,3693,13.233,0.77
shift_register_top_w16_d64_e0.btor2,0.39,dependence,Gate,4,3693,17.842,0.83
shift_register_top_w16_d8_e0.btor2,0.28,dependence,Gate,4,2902,6.839,0.60
shift_register_top_w32_d128_e0.btor2,0.38,dependence,Gate,4,3687,31.051,0.86
shift_register_top_w32_d16_e0.btor2,0.38,dependence,Gate,4,3568,10.009,0.76
shift_register_top_w32_d8_e0.btor2,0.28,dependence,Gate,4,2900,6.743,0.60
shift_register_top_w64_d8_e0.btor2,0.27,dependence,Gate,4,2901,6.864,0.56
shift_register_top_w8_d128_e0.btor2,0.39,dependence,Gate,4,3687,27.298,0.85
